,phases,max Tc,n compositions
0,Er Fe,486.0,4
1,Fe Gd,512.0,2
2,Nd,20.0,9
3,Ag,4.29,1
4,Al Cr,88.0,2
5,Er,54.0,35
6,Al Fe,200.0,7
7,Al Gd,80.0,3
8,Gd,393.0,9
9,Sm,106.0,10
10,Ho,100.0,20
11,Tb,225.0,10
12,Tm,41.5,11
13,Cr,125.0,2
14,B Nd,3.7,1
15,Ce Cu,3.85,1
16,Ce,12.5,2
17,Ce Ru,40.0,1
18,Cr Fe,242.0,13
19,Cr Re,253.0,5
20,Cr Si,150.0,4
21,Cu Nd,11.0,12
22,Cu O,215.0,14
23,Cu Sm,19.0,8
24,Dy,171.5,16
25,Dy Pd,25.0,4
26,Er Pd,13.0,3
27,Eu,90.5,1
28,Fe Ge,265.0,8
29,Fe Ni,21.0,3
30,Fe O,154.0,4
31,Fe S,445.0,3
32,Fe Sb,100.0,2
33,Fe Ti,255.0,1
34,Gd Mn,283.0,11
35,Mn Te,260.0,4
36,Mn Y,110.0,2
37,Co Sm,537.5,5
38,Al Nd,13.1,4
39,Ag Ce,0.8,1
40,Al Dy,36.5,2
41,B Co,68.0,1
42,Ce Fe,225.0,10
43,Ce Sb,35.0,12
44,Ce Si,12.0,5
45,Co Gd,950.0,3
46,Cr Te,120.0,11
47,Fe P,150.0,4
48,Fe Zr,158.0,1
49,Ho Si,23.0,6
50,Nd Sb,39.0,2
51,Ni O,523.0,1
52,Ni S,260.0,13
53,Ni Tb,15.0,1
54,Si Tb,88.0,7
55,Sn U,50.0,1
56,Zn Zr,3.0,2
57,Cr V,1.0,1
58,Co Y,1050.0,3
59,Fe Nd,165.0,2
60,Ho Zn,23.0,2
61,Nd Zn,35.0,4
62,Tb Zn,63.0,5
63,Ce Ni,0.55,1
64,Cl O,165.0,1
65,Co Nd,295.0,23
66,Co Pr,180.0,6
67,Cr S,167.0,2
68,Cr Ti,75.0,1
69,Eu Ge,9.5,1
70,Fe Nb,23.0,3
71,Fe Pt,105.0,4
72,Fe Se,220.0,7
73,Fe Si,7.0,1
74,Fe Sn,93.0,2
75,Gd Mg,91.0,4
76,Gd Si,54.0,6
77,Mn Ni,442.0,8
78,Mn O,530.0,12
79,Mn Pt,452.0,9
80,Mn Si,66.0,14
81,Mn Sn,420.0,6
82,Pd Yb,1.94,3
83,P U,23.0,5
84,Ag Gd,10.8,1
85,Al Ce,3.88,8
86,Co Mg,45.0,1
87,Cr Ru,257.0,6
88,Dy Ga,25.0,5
89,Fe Te,73.0,16
90,Fe Th,300.0,2
91,Ga Tb,31.0,3
92,Gd Ge,225.0,30
93,Gd Y,251.0,31
94,Fe Rh,573.0,14
95,Er Si,25.0,6
96,Er I O Si,14.0,3
97,Ag Nd,7.5,1
98,Al Ho,31.0,6
99,Al Pr,8.5,1
100,Al Tb,100.0,3
101,Au Fe,324.0,9
102,Co Dy,364.0,19
103,Co Ho,200.0,18
104,Cr Ge,184.0,1
105,Cu Tm,4.0,2
106,Dy Mn,37.0,4
107,Ho Mn,28.0,11
108,Mn Sm,67.0,1
109,Ag Er,3.8,1
110,B Ce,3.6,24
111,B Pr,4.3,4
112,Bi Gd,64.0,2
113,Cu Gd,295.0,3
114,Gd Ni,60.0,1
115,Mn Nd,50.0,3
116,Nd Ni,14.0,6
117,Ce Ga,8.4,1
118,B Gd,11.0,6
119,Pr Zn,1.75,2
120,Al U,200.0,1
121,Dy Sn,5.0,1
122,Ga U,40.0,5
123,Ni Sm,9.75,1
124,Ag Ho,4.8,2
125,Co Er,370.0,10
126,Cu Ho,15.0,1
127,Ag Ce Ge,11.0,4
128,Ce Ge,5.0,3
129,Ge Nd,51.0,5
130,Ag Pr,7.8,2
