phases,av. probability,norm. score
C Cr Rb,0.5084715176666665,0.0978249788972717
Au C Rb,0.5140818727999998,0.1108530189021903
C Cr K,0.516555197033333,0.1129449980987506
C Cr Mg,0.5702493688000002,0.1137100066478495
C Mg Pt,0.5503315074166668,0.1269532828422901
As C Rb,0.5541398197333328,0.1339141308948451
As Mg Rb,0.5131113124533332,0.1350024936763517
Cr N Pt,0.5000961151733337,0.1410036801520515
C Mn Rb,0.5263333274333335,0.1410057735128994
Au C K,0.5262007537333333,0.1423384723031955
Mg Na Rb,0.513890496443333,0.1430227480360363
Au C Mg,0.5659298784666663,0.1430604200978905
C Cl Rb,0.5485633429166668,0.1467107332167753
Cl Mg Rb,0.5218785293766666,0.1477903321642134
Ag C Mg,0.5483526583499997,0.1480879202909951
C Mg Rb,0.6310115686999999,0.1492033445826265
K Mg Rb,0.5266726797033334,0.1494563021057855
Au Cr N,0.5243968233333334,0.1564853911379352
N Pt Rb,0.5895925640333339,0.1584136195080996
Cr N Rb,0.5927820257333337,0.1623582042384084
Au N Pt,0.5168311524333328,0.1628015107894306
As Mg Na,0.5030404335766668,0.1653917560763612
As C Na,0.5293973880000002,0.1681428092221829
As C Cl,0.5157843549933335,0.1689916951168311
As Cl Mg,0.5105724319366667,0.1699393476236071
As C K,0.5614728071333334,0.1705981440187989
As C Mg,0.6091953209666663,0.1712943949064557
As K Mg,0.525770094996667,0.1714569832373201
Cr N Na,0.6019743628666663,0.1724235994148777
As N Pt,0.5551860081800002,0.1729681901927736
Cl Cr N,0.6267328990999996,0.173096528727372
Au N Rb,0.610217538933334,0.1731732374159969
Ag Au N,0.5099271378933334,0.1746266709524587
Cr K N,0.6136004851999998,0.1748314958526018
Cr Mg N,0.6747594127666665,0.1754102311734537
Ag N Rb,0.5813177404666671,0.1778373075190751
Mn N Pt,0.5424591873666668,0.1792861497940656
C Mn Na,0.5039087299466665,0.1833563518825434
As Cr N,0.5625870377466663,0.183672898817255
N Na Pt,0.5991576303,0.1837373533117654
Cl N Pt,0.6217861389666666,0.1844572045302564
C K Mn,0.5411001473666666,0.1857065264378159
K N Pt,0.6070886775666668,0.1860726584233149
C Mg Mn,0.5825602601000001,0.1862961162326804
Mg N Pt,0.6650813901000006,0.1866381500190215
K Mg Mn,0.5138189408766668,0.1866426786528907
As Au N,0.5808671733333332,0.1872046520743376
Ag As N,0.5461482244800001,0.1916937933484356
Co N Rb,0.5678597544799999,0.1921411234393025
