phases,av. probability,norm. score
Br Cl I,0.7623705351333327,0.1626831323606718
Bi Cl I,0.7606749008666664,0.119441538593438
As Cl I,0.7596235598666664,0.1526338595880973
Cl I Te,0.7595232842666665,0.1519211068015953
Cl I Sn,0.7594711840333331,0.1577547727183945
Br Cl Te,0.759321763833333,0.1602930106593
Cl I Tl,0.7590544330999996,0.1175126667540966
Br Cl Sb,0.7588951654666664,0.211467235326649
Cl I In,0.7587127705000004,0.1551617441775254
Br Cl Sn,0.7583993611000003,0.1941521487476752
Cl Ga I,0.7582842635,0.1736089816861229
As Br Cl,0.7582629218333329,0.1581289525175047
Cl I U,0.7580661513333335,0.1123170469658712
Cl I Th,0.7579691336666662,0.1029277373688584
Br Cl In,0.7579302770666668,0.1854766493870391
Cl I Tb,0.7577889233666665,0.1008645755022513
Cl I Pu,0.7577264800333332,0.131224944305992
Cl I Pm,0.7575839680333332,0.113741028922818
Be Cl I,0.7575556787000005,0.1516071118880826
Cl Dy I,0.7574608178333336,0.1041683679290521
Ac Cl I,0.7574337413999995,0.1408546389990118
Cl I Pa,0.7573951375,0.1453989187542265
Cl I Np,0.7573747993,0.1394754881991149
Cl Ho I,0.7572645559,0.1058856280805631
Br Cl Ga,0.7571346972666667,0.1788347165063828
Br Cl Tc,0.7571024577666663,0.1172157412852537
Cl I Nd,0.7570604531999997,0.1092144236348654
Cl I Lu,0.7569993921999998,0.0955227357675945
Br Cl Th,0.7569692601999997,0.1034453361604419
Cl I Pr,0.7568212514333331,0.1053061972265075
Cl Er I,0.7566737715666666,0.1052466546677958
Br Cl Pm,0.7566603007999999,0.1142365563483906
Cl I Sm,0.7565951866666665,0.1058516281716426
Br Cl Np,0.756587575133333,0.13991131042501
Br Cl U,0.7565689694666661,0.1128252466322956
Cl I Tc,0.7565237539666669,0.1416007717896909
Ac Br Cl,0.7564418129333331,0.141306598639865
Cl I Tm,0.7564193083333332,0.0978156565233976
Cl H I,0.7563959366333334,0.1603691944595799
Cl Gd I,0.7563842602333333,0.0981120333800494
Be Br Cl,0.7563839813,0.1571225650223681
Br Cl Pa,0.7563740571999996,0.1458475794849418
Br Cl Ho,0.7563411630333331,0.1064206421064336
Ce Cl I,0.7562466028999996,0.1080073542396242
Br Cl Lu,0.7561712736999998,0.0960648783035058
Br I Te,0.7561201976999997,0.1475320329379378
Cl Hf I,0.7560801684000003,0.0998770776710109
Br Cl Dy,0.7560155043333335,0.10470521280705
Cl I Y,0.7558545366666667,0.1348447322844668
Cl Ge I,0.7558086455999998,0.224435275450358
Br Cl Y,0.7557757405999995,0.1266724129410788
Cl I Re,0.7555988413000002,0.1147596529859383
Br Cl Pr,0.7555961226,0.1058437106400277
Br Cl Tm,0.7555949114666665,0.0983585113492179
Br Cl Er,0.7554932148666669,0.1057824019882576
Br Cl H,0.755359679733333,0.1657694081445108
Cl I Sc,0.7551339275333326,0.1227015845560362
Br Cl Hf,0.7549081735333333,0.1004040133700776
Br Cs I,0.7548487811000001,0.1168970100045243
Cd Cl I,0.7548191049333332,0.1256172859861694
Br Cd Cl,0.7544908426333331,0.1105299959314758
Cl I Se,0.7544787360666665,0.1817260693467103
Al Br Cl,0.7544119477999992,0.1996521842270481
Cl I W,0.7542835377333333,0.1234976234262754
Br Cl Sc,0.7542811223999996,0.128635464694288
C Cl I,0.7539968614666664,0.166120594975581
Br I Sb,0.7539767859999998,0.1710837101568393
Au Cl I,0.7537916946666668,0.129962577799036
Cl I Na,0.753656139733333,0.1518099941194098
Br Cl Ge,0.7535255755,0.2291099866361683
Br I Tl,0.7533917091333329,0.1124241580190942
Cl I Zn,0.7533274419,0.1442103939634595
As Br I,0.7532639505333336,0.150401202732746
B Cl I,0.7530268375333325,0.1675533616219884
Br Cl W,0.7529367861333331,0.1239899745664445
Br Cl Se,0.7528995323000001,0.1868721240437854
Cl I N,0.7528963150666664,0.2063887782971318
Cl I Si,0.7524620782666666,0.2011174003207371
Be Br I,0.7524173073666667,0.1439908839589949
Br I U,0.7523828379,0.1073236647305291
Br H I,0.7523620825666669,0.1529190649273879
Br I Th,0.7523438561333328,0.0977533481377225
Br I Tb,0.7522911436666672,0.0956594135556959
Br Cl Zr,0.7522881441666668,0.1068809703589766
Cl I Ir,0.7520493371666658,0.1172500179452694
Br I Pu,0.7520173357333332,0.1264682418432576
Au Br Cl,0.7519928344000003,0.1304447323698276
Br Cl Zn,0.7519835258666666,0.1498316909835483
Br Ho I,0.7519781648666662,0.1007466149506847
Cl I Zr,0.7519755369333339,0.1280640316879379
Br I Pm,0.7519511278000001,0.1087270098128914
Br Dy I,0.7518777209999995,0.0990092784201205
Br I Np,0.7517614215666659,0.134677788541025
Br I Pa,0.7517310923333334,0.1408111900286917
Ac Br I,0.7517055828,0.136226008713223
Cl Cr I,0.7516795918666666,0.1211376525547632
Br Cl Ir,0.7516135128666667,0.1177460079012427
Br I Nd,0.7514538303666664,0.1041330889006192
Br I Pr,0.751453703733333,0.1001646947800234
Br I Lu,0.751422767633333,0.090215838319752
Ba Cl I,0.7514171862333333,0.1730695940368311
Cl I La,0.7514087227333329,0.1319919369717565
Cl I Pt,0.7513914473999997,0.1171707456262737
Cl Sn Te,0.7513502186999996,0.1552011248984632
Br I Se,0.7512772275333333,0.1724685574061467
Cl Pb Te,0.7512628157333332,0.0997453833613651
Br Ce I,0.7512207059333339,0.1029078632616667
Br I Sm,0.7511950135000002,0.1007288353017361
Br Cl Mo,0.7511518192333333,0.1336818751072855
Br Cl Ta,0.7511119362999997,0.1057220670173325
Cl I Mo,0.7510564782333333,0.1464984027048222
B Br Cl,0.7509367807000003,0.1728606981831847
Cl Sb Te,0.7509135521666664,0.172820300765322
Ag Br Cl,0.7508300858999998,0.129988723326801
Br Gd I,0.7508282331666664,0.0928637013619899
Bi Cl Pb,0.7508014209666666,0.0789723860879576
Br I Tm,0.750774968433333,0.0925463548928171
Br Er I,0.7507370830000003,0.1001007354702186
Br Cl N,0.7506837330999999,0.2112622352670428
Br I Y,0.7506171308666668,0.1302342396485131
Br Cl Cr,0.7505621471999996,0.1270995305325286
Br I Tc,0.7505458707333335,0.1369930802348601
Br I Na,0.7505122846666664,0.1442000483130552
Br Ga I,0.7503576402999996,0.1449334811715519
Br I Yb,0.7503448046666668,0.0893018747963303
Bi Cl Sb,0.7503376614999998,0.1338970293480493
Br I Sc,0.7502582745333332,0.1324450462888967
Cl I V,0.7500618003666665,0.1275482645322669
Ag Cl I,0.7500447485666667,0.1364683428713033
Br Cl La,0.7500421386999997,0.1324993232846109
Bi Cl Sn,0.7500389954666669,0.1144216747098006
As Cl Te,0.7500249747333327,0.1501150548756476
Br Cl Pt,0.7499950272000001,0.1176676225126894
Br Hf I,0.7498434684333329,0.094614297088743
Cl Pb Sn,0.7496494467999998,0.1063976885807057
Br I Re,0.7495818746666668,0.1097287345030155
Cl Pb Sb,0.7495419107999995,0.1262221890101773
As Bi Cl,0.7494177919666662,0.1087103434712256
Cl Sb Sn,0.7490753679666667,0.2068695414182825
Bi Cl In,0.7489906206333338,0.1115200537555557
Ca Cl I,0.7489365979999999,0.1462477849006849
Cl P Te,0.7489229522333334,0.176967223744918
As Cl Pb,0.7488891495000001,0.1005217304568557
Br Cl Ru,0.7486975387333337,0.1304111156139103
Cl In Pb,0.7483963663666662,0.1034298948543414
Br I N,0.7483877637,0.1996729629482167
Cl I Ru,0.7483425932999999,0.132565168845526
As Cl Sn,0.7482669136333333,0.1846826426956078
Br Ge I,0.7481754043333332,0.1755880031905473
Br Cl Si,0.7480474182999994,0.2060435277773694
Cl Te Th,0.7479048368666668,0.0909038132858972
Cl Ga Pb,0.7478936585,0.1243447080658615
