,phase,predicted bg eV,true bg eV
16764,P Tb Zn,4.062215674286633,4.3
8885,F K Na Ti,5.715946015400869,6.9
33744,La N O Pb,4.534461084299648,4.7
30250,N O Si Sr,4.51498981838962,4.3
13786,Ge H Na O Zn,4.536834847924909,4.6
10293,Dy S Si,4.495773456364534,4.8
34172,Co Nd O Ru,4.527973359357233,4.2
27622,Gd O Si Sr Tb,4.5114881327380765,4.7
22586,Er Si Zr,4.062215674286633,3.7
11770,B Fe Re Y,4.058988365115656,3.2
9114,Li Ni O Ta,4.527973359357233,4.3
17446,Ge La Na Se,4.074179673844825,4.7
33357,Br N Pr S,5.255432437274453,4.0
4493,K Li Mo Nd O,4.065717359938177,3.7
11973,Ba Li O Sb,4.527973359357233,5.2
11338,Nb O Tb,4.505358694942094,4.9
16747,Ca Co Eu O Sr,4.074150197977342,3.3
19296,Co Nb Sm,4.058988365115656,3.8
21654,Mn Nb Sb,4.522350470486193,3.9
16548,Ba Cu Nd O Ti,4.074150197977342,4.5
5221,B Gd Ir,4.058988365115656,2.9
28015,Cu Mo O Sr W,4.527973359357233,3.4
33000,Li Na O Rb Ti,4.527973359357233,4.9
37698,C K Mo N Se,4.0747030414892,4.9
30019,As Cl Cu P S,4.982053861897558,5.0
27060,Cu O W Zn,4.505358694942094,4.5
5974,Ba Bi K Na O,4.494971223569024,4.3
40421,Cr I In,5.668656043722109,4.8
24845,O P Tl,4.065717359938177,5.1
6519,Cs Fe O W,4.527973359357233,4.5
13331,As Ga Na Sr,4.062215674286633,4.0
10561,H Si Y,4.065717359938177,3.9
19395,Na Nb O Se,4.527973359357233,4.7
5725,Al Cu S,4.527973359357233,4.9
25676,Ca Cl Cs Fe Zr,5.018004895147305,6.1
4682,Bi O Pr,4.5120876897646145,4.2
27692,Ca Cu Eu O Pb Sr,4.074150197977342,2.9
34246,Br H N Ti,5.652561521219083,6.2
23446,Br Cr,5.869457993868984,5.4
4039,Bi Te Tl,4.5930734732609615,4.5
18839,Ag C N,4.528838195428608,4.4
30763,Mn Mo O Sr,4.527973359357233,4.4
37087,Cs Er Mn Se,4.074150197977342,4.5
22691,As F K Mn,5.577007603433307,5.7
34220,Cl Na Rb V,5.720893000429499,6.5
19155,H Mn N S Te,4.526994101303023,4.6
24098,F H Ni O U,5.246459374114388,6.0
6412,H O S Tl,4.537413771313109,5.6
9333,Fe Si Th,4.058988365115656,3.8
21783,Al Dy Ir,4.058988365115656,3.4
27282,Ba In S Te,4.527973359357233,4.6
39273,Be Ge O Si,4.534461084299648,4.4
7056,O Pb Rb Ta,4.065717359938177,4.6
14329,K P Se U,4.534461084299648,5.2
26362,Ba In Ir O Ru,4.074150197977342,3.6
27792,H Ni O P Sr,4.527973359357233,5.0
28853,K Mn Na O Si Zn,4.074150197977342,4.7
11372,Fe Mn Ni Si,4.058988365115656,3.8
22927,Ag Ba Ga P,4.0747030414892,4.9
37221,Dy Na O P Pb,4.527973359357233,4.9
13457,Hf Na O Sc,4.527973359357233,4.5
25671,Cl Cs La Mn Zr,5.140781532219834,6.1
1978,Ge O P,4.537413771313109,5.2
27000,Al Cu S Zn,4.527973359357233,4.6
10765,As Cu Na,4.062215674286633,4.3
35001,Ce O Tm,4.5120876897646145,3.4
18945,Mo Se Ta W,4.489644018568552,4.4
8982,As H N O,4.55660117805618,5.4
32942,Ca Cu Ir O,4.074150197977342,4.5
24997,Na Nd O Si,4.527973359357233,5.1
34664,Li Mn Ni O P,4.070648512325796,4.4
3905,Ce Si Th,4.065717359938177,4.1
4225,Ge Li Zn,4.062215674286633,4.6
19298,B O Si Tb,4.5082608235671,4.9
12747,Li O Sb W,4.537413771313109,4.4
26092,Na O P Pd,4.537413771313109,4.6
11101,Bi F Na Pb,5.3177945998091865,5.2
10322,C Cr Y,4.058988365115656,4.1
10074,Ga Pd Tm,4.058988365115656,4.1
32468,C Ce Na O,4.06742120315482,5.3
1503,Al Nd O,4.527973359357233,4.5
18042,Cr Er H Mo O,4.527973359357233,4.8
37409,Cl Nb O Ti,5.207245374631241,5.3
30841,Co Dy Ga Se,4.06742120315482,4.6
14119,Al H O Sr,4.559706726132433,4.7
30272,La Se Si,4.499275142016078,4.9
17405,Cr O Rb U,4.505358694942094,4.9
16052,Cs Mg Mn O,4.074150197977342,4.5
10511,B La Tm,4.062519526634685,3.0
14054,Cr In O Sr,4.527973359357233,3.9
32452,Ag Al O S Si,4.527973359357233,5.1
19906,Al O P Ta,4.537413771313109,5.2
16820,Fe Ir O Sr,4.527973359357233,4.7
28314,Br Cd Cs,5.783910369454023,6.7
7040,Be Ga La O,4.06742120315482,5.0
38028,Mg Pd Sm,4.062215674286633,3.7
1230,Dy F,5.683764199993599,7.2
17599,H I Nd O,5.282379287812984,5.5
40483,Cl F Sb Te,5.397393261654729,6.1
29706,H N O Pr Rb,4.534461084299648,5.4
25298,Fe O Sr Tb,4.505358694942094,5.2
3728,Al Ce Th,4.058988365115656,3.8
15998,Cl Fe H O Sb,4.887027845719318,5.5
13880,Br Fe O Sr,5.206695636332849,4.8
27292,Cd O Sr W,4.508586004113071,5.0
36774,Mn Nd O Pr Sr,4.527973359357233,4.8
39288,Ho O Pb,4.537413771313109,3.2
14049,O Pb Si Sn,4.065717359938177,5.0
34803,Cd Lu Ni,4.062215674286633,3.6
24058,Co Dy Ge In,4.058988365115656,4.0
6462,Eu K O,4.527973359357233,5.1
14538,Al Fe H O Sn Zn,4.527973359357233,5.1
36649,K Mn Na Nb O,4.065717359938177,4.4
26238,Ag Cd Eu,4.058988365115656,3.0
2171,N O S,4.537413771313109,5.5
17177,C Cl H O Sr,5.120702712888002,4.7
438,Mn Ti,4.058988365115656,4.2
23659,B Ho O,4.527973359357233,5.0
8231,Fe O P Sn Sr,4.537413771313109,4.8
39563,Bi O Tl V,4.51498981838962,5.3
36595,Mg O Pu Si,4.508586004113071,6.0
29304,As C H N O S,4.534461084299648,5.0
3831,Si Ti V,4.058988365115656,3.7
40060,Ba H N O Pd,4.55660117805618,5.1
32503,Ho O Pr,4.508586004113071,5.0
32915,Ge I Th,5.65880394227193,5.7
18961,Ga Gd Sb,4.522350470486193,4.0
11349,Br K Tc,5.962309650544633,6.2
34393,F O Se Tm,5.249915989553841,5.0
15665,Ba Ga La O Sb,4.074150197977342,4.3
3190,Ac,4.065717359938177,3.0
37810,Br C H O Ru,5.040139994350776,4.9
3722,Al C Ti,4.058988365115656,4.2
18700,H Na O U V,4.527973359357233,4.5
19758,Bi Mn Tm,4.065717359938177,3.9
22442,Li Nd O Zr,4.527973359357233,5.2
21871,Br Gd Ru,5.8292377653245975,6.2
25951,K S Te,4.803165881822041,5.3
29773,Ba Cu Te,4.793725469866164,4.3
38145,C F O S Zn,5.165186734203194,2.1
151,Dy Pd,4.062215674286633,4.3
566,Gd Pb,4.062215674286633,3.3
11639,O Rb Ti W,4.081432036311719,3.6
24612,Ag H I K O,5.110715730712495,4.4
11850,K O Pr,4.5120876897646145,5.3
22941,Li N Si,4.077930350660176,4.5
11642,O Rb W Zn,4.081432036311719,3.4
40232,Ag Fe Li O Te,4.06742120315482,3.9
20426,Cl Fe Li Mo O,4.779723771967752,4.8
10267,P Sn Zn,4.062215674286633,4.4
3834,Sn Te,4.595639133984711,5.2
8668,Co Sn U,4.058988365115656,3.6
32505,C H Hg Mg N O S,4.537132073036802,4.8
30441,Na O Se W,4.537413771313109,4.9
14147,As Ba Mg,4.077930350660176,4.5
19479,Bi Ca Cu I O Sr,4.07768135949637,5.0
35832,Ni Te Y,4.5930734732609615,4.7
29192,H N Na O P Tl,4.089864874350884,4.6
