phases,av. probability
B Fe Ni,0.17419438865742673
Al Fe Ni,0.17456400553560336
Al Mn Ni,0.17495545837993332
B Ni Rh,0.1752245821128668
B Ni Pd,0.17530629209956666
B Al Ni,0.17552539437334008
B Co Ni,0.1755266909484466
B Mn Ni,0.17556954069903336
Al Ni Rh,0.1756009267385668
Al Ni Pd,0.1756334606391
Al Co Ni,0.1759335499065668
Al Ni Au,0.17614293776476675
Fe Ni Rh,0.17631129621801336
B Ni Ir,0.17651000872363337
B Ni Cu,0.17653549944588007
Al Ni Cu,0.17662202391373671
B Ni Au,0.17667358177676676
Mn Ni Rh,0.1767835517726335
Mn Fe Ni,0.1770655070931001
Fe Ni Pd,0.17708121892396678
B Ni Pt,0.17708485842143346
Al Ni Pt,0.17711509727176675
Al Ni Ir,0.1771270072417667
B Fe Rh,0.17731741628366676
Ni Rh Pd,0.17745637700956682
Co Ni Rh,0.17745767864026668
Fe Co Ni,0.17747400656519105
Al Ti Ni,0.1774925973971667
Al V Ni,0.17754138937833341
B Ti Ni,0.17761273457400015
V Fe Ni,0.17762542432709988
Ni Cu Rh,0.17762769818651342
Mn Ni Pd,0.1776741997293001
B Fe Pd,0.17773323495206667
Co Ni Pd,0.17789000703713334
Ti Fe Ni,0.1779869292724433
B V Ni,0.17801258827922
B Ni Zr,0.1780257591737334
Al Ni Zr,0.1780741096488334
Fe Ni Au,0.1781755200068668
Mn Ni Cu,0.17821221073887003
Al Fe Rh,0.17823630536568003
Mn Co Ni,0.17824395479624333
B Co Pd,0.17832357115116668
B Co Rh,0.17835563093740012
Ni Cu Pd,0.17841400393156673
Fe Ni Cu,0.17846576592165564
Fe Ni Ir,0.17849104733999327
B Fe Co,0.1784958644353668
Ti Ni Pd,0.17850845550164987
Fe Ni Pt,0.1785103122761667
V Ni Pd,0.1786374385801101
B Ni Mo,0.1786527259733667
V Ni Rh,0.17872584230093336
B Al Fe,0.17880205888528666
Co Ni Cu,0.17892224107749427
Al Fe Pd,0.1789371610501334
B Ni Zn,0.1789603810544
Mn Ni Au,0.17903827741793332
Fe Ni Zr,0.17904334343323328
Ni Pd Ir,0.17908263125366655
Ni Pd Au,0.17908277617199994
Co Ni Au,0.17908889554136664
Ni Rh Au,0.1791002066555801
V Co Ni,0.17911161464420006
B Mn Rh,0.17913750020436667
Ni Rh Pt,0.1791695110161001
Al Co Pd,0.17917725555959996
Ti Ni Rh,0.17919267934843347
Al Ni Mo,0.17919908376590005
Ti Co Ni,0.17928027941933333
Al Ni Zn,0.17928139542966676
B Cr Ni,0.17929810283886666
Co Ni Pt,0.17931601349046666
Al Ni Yb,0.17933117055633335
Al Fe Co,0.17935161255951
Al Co Rh,0.17939388978526669
Mn Ni Pt,0.17939717694383334
Ni Cu Au,0.17944161976679995
