phases,average probability Tc>10K
Fe N,0.5365182846999998
Mg N,0.5274136721999998
N Nb,0.5183978601
Fe Nb,0.5069755864333335
C N,0.5019973831666671
Fe V,0.4867730807666669
Mo N,0.4853349477666668
N V,0.476676054766667
As Fe,0.473588090366667
Ga N,0.4725694445666663
Fe O,0.4719259084833332
Fe Se,0.4692671481333336
Fe Ga,0.4668722408166668
Fe Mo,0.4662277526666668
C Fe,0.4638190981000002
Li N,0.4630980338000001
Cl N,0.4573205965166667
C Nb,0.4420080403
N Zr,0.4413983268999998
Ga Nb,0.4412409118666668
K N,0.4355065383499998
N Na,0.433831029166667
Cu N,0.4266545330666668
C Mo,0.4224962798333334
Ga V,0.4219328438999998
C Mg,0.4216825651333336
Ba N,0.4206620632499999
N Sn,0.4192033910833332
Fe H,0.4181123512033332
Al N,0.4172185215299999
Cu O,0.4142183769800001
C V,0.4141991385999999
Ca N,0.4134599626699998
Cl Fe,0.4134075216199998
N Rb,0.4128589715800001
Br N,0.4117525055333331
H N,0.4101267195999999
Cu Fe,0.4100391952333336
B Mg,0.4095027931333334
Al Fe,0.4085410923633336
Fe Mn,0.4062934932666667
N Y,0.406204783333333
Fe Sn,0.4060457578466669
Mn N,0.4058366151800002
Al Nb,0.4040616164333332
Cs N,0.4023407889466668
As N,0.4006008621333333
F Fe,0.4001830786533335
Fe Zr,0.3996252673566671
Mg O,0.3983516075933332
Nb V,0.3977018936000001
I N,0.396756007366667
Br Fe,0.3961972175666666
N Sr,0.3937239500666667
Fe Y,0.3931957589366665
Fe I,0.3905068571233334
Nb Sn,0.3888210831666666
N Se,0.3886614690833333
Fe Zn,0.3885341511666665
Mo Nb,0.3883485592666666
B Fe,0.3870996993500002
Mo V,0.3861588726333335
Fe Te,0.3817134513166667
Ga Mg,0.3811603601200001
N O,0.3809764730966666
B N,0.3782529045766666
N Zn,0.37823035213
Fe S,0.3761041035833333
Au N,0.3757667027633331
Li Mg,0.3737237631433333
Au Fe,0.3730519226300005
Cr N,0.3714965364900001
N Tl,0.3712387841533334
Hf N,0.3702204089333332
Cr Fe,0.3691496740966671
Fe Pt,0.3679474745866666
N Pb,0.3663172616133333
In N,0.3654792902633332
N Ta,0.3651994002500001
Hg N,0.3633286246766671
N Si,0.3604935784666667
Ge N,0.3573478065133332
Cd N,0.3569087061366667
Fe Ta,0.3565306325699997
C Li,0.3550188295333333
N S,0.3537599189866665
N P,0.3530275718933332
Ag N,0.3511605399533335
Ag Fe,0.3504808844799999
C K,0.3497147493666666
Al V,0.3487694732833332
La N,0.3483107631133335
N Pt,0.3466346374099998
N Rh,0.3456791995566665
Co N,0.3444927797633332
Co Fe,0.3444766581066668
Fe Sb,0.34332670426
Fe Rh,0.3428717577033335
N Sc,0.3413582764900003
N Sb,0.3408316481400001
C Y,0.3390246917666666
Ga Mo,0.3389274414200001
Eu Fe,0.33825221235
Eu N,0.3363880094333333
Al Mg,0.3348581348233332
Fe Si,0.33436643815
H Mg,0.3340042402266668
Er N,0.3337835774100001
Fe Hf,0.3331256529466666
Sn V,0.3328495747300001
Fe Ru,0.3326334396766665
C Ca,0.3326209836666667
Fe Sc,0.3325413687866667
C O,0.3324139888766665
Fe P,0.3321622949666666
Fe W,0.3312032640033331
N Ti,0.3306698254633333
Fe Pd,0.3302225537700001
Be N,0.3301072056499999
Si V,0.33003441532
N W,0.3298535777833333
Nb Zr,0.329515375133333
N U,0.3288356246866668
N Ru,0.3279656830000002
Cl Nb,0.3277337237666665
C H,0.3264986340666668
C Na,0.3262522607333334
C Cl,0.3253228484333335
N Pd,0.3245332112699999
C Rb,0.3235076167999999
Ba C,0.3226668069333331
N Nd,0.3221184364600002
H Nb,0.3220518104466666
