phases,average probability Tc>300K
B Fe Co,0.7323003221333334
Fe Co Mo,0.7290255269666663
B Fe Mo,0.7289071433999997
Fe Co Sm,0.7287701538666667
Fe Co Y,0.7284515124666668
B Fe Sm,0.7284283790333336
Ti Fe Co,0.7279480705333337
B Fe Y,0.7278852547999997
Fe Co Nd,0.7277270244333329
Fe Co Ga,0.7273372882000004
B Fe Nd,0.7269450671333331
B Ti Fe,0.7269176773999999
N Fe Mo,0.7263666105000003
Fe Co Dy,0.7261424003000008
N Fe Co,0.726089677466666
B Fe Ga,0.7260575044000002
B N Fe,0.7260067693666665
Fe Co Er,0.7257010232666669
N Fe Sm,0.7253984199333335
Fe Co Lu,0.7253677243999997
B Fe Dy,0.7252703572666667
Fe Co Zr,0.7251650864333333
Fe Co Pr,0.725124008366667
B Fe Er,0.7250585324333341
Fe Co Gd,0.7249103731999997
Fe Mo Sm,0.7247553217000002
Fe Co Ta,0.724716870633334
Fe Co Tm,0.7246530633333338
N Fe Y,0.7245827088666665
B Fe Pr,0.7243141288666669
V Fe Co,0.7242840956333332
Ti Fe Mo,0.7241847222666667
N Ti Fe,0.724174330833333
Fe Y Mo,0.7241435849666668
Cr Fe Co,0.7240037977333329
B Fe Lu,0.723899162166667
B Fe Ta,0.7238563680333331
Fe Co Ho,0.723847504933333
Fe Co Tb,0.7238386122666667
Ti Fe Sm,0.7237728624666668
B Fe Zr,0.72374297
Fe Co Hf,0.7237423095000003
B Cr Fe,0.7233872360333334
N Fe Nd,0.7233871321000005
B Fe Gd,0.7232596048999997
Fe Mo Nd,0.7232117270333331
B Fe Tm,0.7231148685
Fe Co Nb,0.7230199187999999
B Fe Ho,0.7229930239333331
Ti Fe Y,0.7228186070999996
Fe Y Sm,0.7227980452666671
B V Fe,0.7227502330666666
B Fe Tb,0.7226451372333336
Fe Co W,0.7225237102666672
Si Fe Co,0.722443046733333
Fe Ga Mo,0.7224073007333331
B Fe Nb,0.7222285006333335
N Fe Ga,0.7222180854666669
Fe Co Re,0.7221700196333327
Ti Fe Nd,0.7221248128666663
Fe Nd Sm,0.7220455306333338
B Fe W,0.721803457333333
Fe Ga Sm,0.721597607266667
N Fe Dy,0.7215938405333331
Fe Mo Dy,0.7215433111333331
Fe Co Th,0.7213651617666669
Fe Mo Er,0.7213362289333333
N Fe Er,0.7211172695333334
B Fe Re,0.7210844992666671
Fe Co Tc,0.7208497186999999
Fe Co Pu,0.7208171374000001
Fe Ga Y,0.7208151469999996
B Fe Hf,0.7207692764666666
Fe Y Nd,0.7206625483000004
Fe Zr Mo,0.7206562766666665
Fe Sm Dy,0.7205972453333329
Fe Mo Ta,0.7205755221999998
Ti Fe Dy,0.7205639941666666
N Fe Pr,0.7204730347666669
Fe Mo Lu,0.7204102602333329
Fe Co Pb,0.7204029150333335
Fe Co Pm,0.7204014431000001
Fe Co Np,0.7202897978666662
Fe Co Hg,0.720260339033333
N Fe Zr,0.7202241538333337
Ti Fe Ga,0.7201681689333331
Fe Sm Er,0.7201007745333333
Fe Mo Pr,0.7200489433666659
N Fe Lu,0.7200275290000002
Fe Co Ni,0.7200116081
Ti Fe Er,0.7199322595000001
N Fe Ta,0.7199006376000004
N V Fe,0.7198968039
B Fe Th,0.7198842281666669
Fe Co Pa,0.7198703275333327
Fe Zr Sm,0.7197993435666665
Fe Sm Ta,0.7197855773333335
