phases,av. probability,norm. score
Co Mn Ti,0.6716826552000001,0.1700018426420388
Co Cr Mn,0.6686395850666664,0.1638095298925053
Co Mn Y,0.6684230839666663,0.1222594654872091
Co Mn Nd,0.6682836195000005,0.1001231535121857
Co Mn Mo,0.6676699172000001,0.1223666141664097
Co Lu Mn,0.6662115581666671,0.0819792118821277
Co Mo Sm,0.6657089374333333,0.0842086016302939
Co Hf Mn,0.6656258497999997,0.0859631180802501
Co Mn Zr,0.6655534066000001,0.0952762177265221
Co Cr Ti,0.6654030426,0.1323094950756839
Co Mo Ti,0.6651944586999999,0.100456241829614
B Co Ti,0.6648672269666671,0.1610569374349958
Co Mn N,0.6647534630333329,0.24229981499037
Co Mn Np,0.6645275920666666,0.1290019683815539
Co Mn Pu,0.6643556130000001,0.118232610032553
Co Mn Pm,0.6642139541333335,0.0991071352285659
Co Mn Pa,0.6641751658333332,0.1340593671176214
Co Mn W,0.6641258061333334,0.1110253344818526
Co Mn Tc,0.6637487014333332,0.1022802136676579
Co Mn V,0.6635953007666667,0.1680641553489332
Ac Co Mn,0.6634354282000001,0.1289240246633724
B Co Cr,0.6633571284999988,0.1522633467770808
B Co Mo,0.6629864059333331,0.1225674492514685
Co Mn Th,0.662959615466667,0.0874576166775831
Co Mn Re,0.6625983429000007,0.1005028013431758
Co Mn Yb,0.6623678664333331,0.0845840436150243
Co Mn Ta,0.661104882433334,0.0909288448588848
Co Mo Nd,0.6610332601333335,0.0876426227668862
Co Mn Os,0.6609484425999997,0.0976249295909865
Co Hg Mn,0.6609367409333334,0.0895138187546717
Co Mn Pb,0.6608046220666672,0.1033540818129263
Co Cu Mn,0.6597217165999999,0.327512456575546
Co Ti Zr,0.6596618828,0.0712093583614008
Co Mo Pr,0.6591600517333334,0.0826890726382992
Co Eu Mn,0.6584383431333332,0.0878486728398182
Co Cr Mo,0.658153727066667,0.0927533808909192
Co Mo Zr,0.6576886660333331,0.0888062818001522
Co Ti Tm,0.6575166582,0.0607540630139963
Co Ti V,0.6572916259666665,0.1402327796782219
Co Hf Ti,0.6566323724,0.0609727452509291
Co Ga Mo,0.6563403894666658,0.1445746624984684
Co Lu Ti,0.656323672366667,0.0566056237316017
Cd Co Mn,0.6557229697999994,0.1015809520048403
Co Sm Tm,0.6556150455333336,0.0453997144336855
B Co Zr,0.6554462771333339,0.0954809159687514
B Co Ga,0.6554401827333336,0.2414749907179658
Co Np Ti,0.6554145690666667,0.1075067955992878
Co Pm Ti,0.6552159584999998,0.0752561948834495
Co Nd Pr,0.6549536418666665,0.0616706583956829
Co Pu Ti,0.6549271347666669,0.0959416241942598
Co Lu Sm,0.654919748566666,0.0409867706120864
Co Cr V,0.6547215598000001,0.1301391612065145
Co Pa Ti,0.6546253539999999,0.1129109642137599
Co Cr Nd,0.6546162965333334,0.0680590554608136
Co Mn Nb,0.654488464533334,0.097082965317164
Be Co Mn,0.6542252896000001,0.1723473368178488
Co Hf Mo,0.6541413162333332,0.0727667634430967
Co Mn Sc,0.6537773481333332,0.1649486172341681
Ac Co Ti,0.6536987915666669,0.1074182577644922
B Co V,0.6535312241666669,0.1597156510758983
Co Pu Sm,0.6534668907333331,0.0826897045779677
Co Np Sm,0.6531881384666666,0.0948025696392974
Co Cr Zr,0.6527085710000003,0.0626106951618617
Co Pa Sm,0.6526700195333337,0.1004472815673843
Co Er Sm,0.6526073775333336,0.0564809567633141
Co Pm Sm,0.6523666816999997,0.0737495476404045
Co In Mn,0.6522616007000006,0.1870489120718701
Co Tc Ti,0.6521440474666662,0.0787095976597121
Co Mn Tl,0.6520349145000001,0.1116521999680859
Ac Co Sm,0.6519245392666665,0.0947124616100942
Co Mo Pu,0.6518868969333331,0.1065405739741892
Co Tm Y,0.6518742881333331,0.0599185109986989
Co Hf Y,0.6518152238999999,0.0601362032400944
Co Mo Np,0.6515685810000001,0.1177316571193141
Co Mo Pm,0.6515596106000001,0.0865815279516426
Ag Co Mn,0.6514541903333333,0.1284871843892378
Co Lu Y,0.6513665460999999,0.0557827756073524
Co Mo V,0.6510360834000003,0.0980699741397586
Co Mn Sr,0.6509016467000003,0.1425489703084112
Co Mo Pa,0.6508138174000001,0.1229745511703973
Co Ir Mn,0.650398366966667,0.1073419609150939
Co Mn Rh,0.6500172477000001,0.1475149068546603
Co Pm Y,0.6500126096333334,0.0746074941346507
B Co Lu,0.6499805128333336,0.082197213681795
Ac Co Mo,0.6499145117333334,0.117649396459119
B Co Hf,0.6498639680666667,0.0861839722414548
Co Mn Ni,0.6497684865666671,0.2926213314383878
Co Cr Lu,0.649685685533333,0.0474648209478588
Co Pu Y,0.6496602622,0.0953608574170608
Co Np Y,0.6496203285000007,0.1069543338405333
Co Mo Tc,0.6493197130000004,0.0899035542782946
Co Mn Zn,0.6492515174666666,0.1750445252522997
Co Cr Tm,0.6492496554000002,0.0517734125253657
Co Nd Tm,0.6492200138666665,0.047502038391433
Co Pa Y,0.6492008150666666,0.1123749361230768
Co Ga Zr,0.6486371362666667,0.1193836049056246
Co Cr Hf,0.6486047079999997,0.0520053273558022
Co Lu Nd,0.6486008621000002,0.043129692729855
Co Sm Tc,0.6484868791333332,0.0758970433329663
Ac Co Y,0.6484236005666663,0.1068703959881514
B Co Pm,0.6481354266666666,0.0993284816937309
Co Cr Dy,0.6479654704333336,0.0609049338955078
Co Nd Pm,0.647933907833334,0.0628714244481757
Co Nd Pu,0.6476831187999997,0.0845173491821803
B Co Pu,0.6475533930333334,0.1184448650728454
Co Ti W,0.6473917143333332,0.0882266968592972
Co Cs Mn,0.6472876788666665,0.1178900402983072
Co Pr Tm,0.6472641406333329,0.0449500497858494
Au Co Mn,0.6472419277333337,0.1217832993274417
Co Cr Pu,0.6472411648666665,0.0881023095744773
Co Cr Er,0.6471621702333339,0.0625832433139827
Co Re Ti,0.647158950933333,0.0767934317154086
Co Th Ti,0.6471040973000003,0.0625518164965929
Co Ta Ti,0.6470610015666669,0.0664170376068614
Co Dy Nd,0.6470303222000002,0.0567863030028476
Co Hf Zr,0.6470228270333334,0.0473172327866288
Co Nd Np,0.6469525416333337,0.0965538513401256
Co Tc Y,0.6469000538333336,0.0780638899639042
Co Cr Pm,0.6468986280000003,0.0667774292293306
Co Cr Np,0.6468515070666666,0.0999840234770056
Co Cr Pa,0.6467888001333332,0.1055260000910462
Co Tm Zr,0.6467146160333328,0.0471102612722041
B Co Pa,0.6466550474333326,0.1342616636429567
Co Nd Pa,0.6466009611333338,0.1021656362110161
B Co Np,0.6465833652666668,0.1292072316191151
Co Re Sm,0.646417741233333,0.0624837067853199
Co Er Nd,0.6463822214999997,0.0584901827135465
