,phases,rankings
4597,Co Mn O Pr,8.842823704627131
4245,Al Ho Re,7.708587801349734
1743,Mn Ni Th,6.973644817619157
1527,Al Co Mn Ni,10.902882495666757
3405,As Cu U,8.30310012627585
359,Fe Gd Nd,5.205170543270795
3267,Pt Si U,8.52665683348206
2460,Co Fe Mn Nd,6.863509714889953
3847,Eu La Mn O Sr,8.783840829714979
4625,Cu La Mn O,9.101213155890637
324,Cu In Mn,9.109146224959684
4061,Co Cr Cu S,8.783408943694244
650,Al Au Sm,8.03363892947896
1249,Co Sn Tm,6.468492810214702
84,Cd Eu Ge K,8.756099075551846
18,La Mn O Sr Te,9.292594517151718
828,Al Fe Li O,10.591393942920831
882,Ba Co O Sm,9.062053275639887
3438,Fe Tm V,5.071417093141432
3757,Fe Sb Sn,7.909438266167577
523,B Co Fe Nb Nd,7.79807451502305
3872,Ba Co Eu O,6.7654265150230675
890,Co Fe Mo Sm,6.332933288438609
195,Cd Mn O Tl,8.62379405372593
2047,Cd Mn Nd O,6.348894670566374
4202,Ce Ge In,8.943047612856578
2994,Cr La Mn O Te,8.444437482854603
1699,Fe Pu,7.155056830734554
1479,Co Sm V,5.508597594776488
505,Bi Dy Mn,5.882003017772968
1325,Cr Fe Y,5.307254130489433
1378,Fe Ga Sb,7.736771345837924
939,Cr Cu Se Ti,8.747466857483206
4370,Cr Mn Sn Tb,6.6362009287581
312,Al B Ce Co Fe Nd Pr,37.96145939291447
1998,Dy Mn O Ru,8.334606896994492
678,C Fe H Pr Ti,8.82012061653197
1879,Fe S Ta,6.982136168673354
4569,Co Dy Er,5.260014545343525
1187,Fe La Mn O Pb,8.100277051574523
607,Ce Cu Ge,9.600755752113345
2686,Al As Mn,9.128744679038759
2288,Cr Mn Sb,6.802174564819733
286,Cu F Pt,8.573984746380884
3395,Fe Mn O Sr,9.247949989369129
2604,Fe Tm,6.567517926528259
358,Cd Co Fe O Ti,8.214722751522345
1194,B C Gd Ni,9.60540244154247
3157,Fe H Lu Ru,5.861552906405942
1678,Fe Sb Si,9.248760188132032
2758,Fe H Ta Tb,5.873507193487263
