,phases,rankings
384,Ba K Ni O       ,6.938076795725019
163,Cr Ge O Sr      ,8.478497506019634
513,Cs Fe Mg O      ,7.14411690804648
486,Bi Cs Ni O      ,6.056633717836224
226,Ca Li Mo O      ,9.347363644159906
509,Cs Fe Ge O      ,8.601306509824807
157,Ga O Ru Sr      ,8.946342932388527
99,In Na Ni O      ,6.621330545292207
496,Fe O Rb Sr      ,9.094203836463723
291,Ge K O Ru       ,8.407812839220268
247,Al Bi Co O      ,7.381581434948347
131,In Na O V       ,6.646506373636346
293,Al K O V        ,8.060955686085903
82,In Mo O Si      ,10.33077473927228
76,Al Cr In O      ,8.146332200482016
284,Ba Na O V       ,6.922992441707454
281,Fe Ga Na O      ,7.2189967049036
478,Cs Ni O Sr      ,8.01689631314248
276,Ba Ni O Sr      ,8.194368682563411
329,Bi Fe In O      ,7.018403715064283
141,Na O Ru Si      ,10.34084668817641
377,Cr K O Sr       ,7.208375213996676
155,Ge Mo Na O      ,9.800381840177565
474,Ca Cs O Ru      ,6.191378607221716
0,Ga Ge Ni O      ,8.318743661218635
468,Ca Cs Mn O      ,6.7257546263039325
152,Al Li O Ru      ,8.910162746710201
200,Bi Cr Mg O      ,6.478114662028667
504,Cr K O Rb       ,6.653172678740972
44,Al Ga O Ru      ,8.105018180602384
30,Ga In O V       ,7.0175668644961995
485,Co Cs In O      ,7.408936582144916
360,Mg Mn O Rb      ,7.581057925709629
204,Fe Ge O Si      ,10.391122423926987
410,Na O Rb V       ,8.43568025949409
376,Al O Rb Ru      ,9.244645903475346
338,K Ni O Sr       ,8.415184185874777
242,Ba Cr Ga O      ,7.07317452038343
325,Al Cr K O       ,7.513785705052799
414,Bi Ni O Rb      ,7.292368108738332
307,Ga K O Ru       ,6.908420323535779
529,Cs Fe O Sr      ,7.406204343386819
236,Ba Cr Ge O      ,8.43700869943404
213,Al Bi Mo O      ,9.333366540875344
249,Cr Li Na O      ,7.578865468522425
490,Fe Na O Rb      ,7.217754826353653
422,Cs Mg Ni O      ,6.896706084595874
497,Bi Cs O V       ,6.084146676141168
153,In Na O Ru      ,6.503156171384482
520,Bi Co Cs O      ,5.734704383164575
184,Bi Mg O Ru      ,6.5282118138875465
366,Bi Fe Na O      ,6.374744200773108
125,Co In O Si      ,9.466904690717866
105,Ni O Si Sr      ,12.372850120650243
210,Ca Cr Na O      ,6.1775633707877455
300,Ba Bi Ni O      ,6.586362973801876
262,Ge K Ni O       ,8.499546737324328
40,Cr Ga Ge O      ,8.584206663748343
136,In Mn Na O      ,6.945597206040382
516,Cs Fe In O      ,7.256308843850668
379,Ge Mo O Rb      ,9.958413001159377
297,Al K Mn O       ,8.366397433958905
412,Co In O Rb      ,7.362757956192573
473,Ba Mo O Rb      ,8.663983170867619
519,Ba Fe O Rb      ,7.073397193250497
492,Fe Li O Rb      ,8.302776594534743
299,Co Na O Sr      ,7.856722640403225
434,Cs Mg O V       ,6.920880262081605
201,Ba Ge O V       ,8.270138157368743
199,Fe Ga Ge O      ,9.058862850620711
315,In K O Ru       ,6.544780687664367
275,In K Ni O       ,6.66221676697989
73,Al Mg Mo O      ,9.68713741711507
93,Al Na Ni O      ,8.00636395176133
403,Ni O Rb Sr      ,10.293957940070474
268,Ga K Ni O       ,7.019775592370863
39,Ga O Ru Si      ,10.38042219916612
119,Ca Mo O Si      ,10.363635472818212
537,Cs O Rb Ru      ,8.128859582109369
266,Ca Fe In O      ,7.242881041005968
118,Ga Mn Na O      ,7.289268664658595
50,Al Cr Ge O      ,9.364357103358424
290,Ba Li O V       ,8.047853054904833
211,Bi Cr In O      ,6.601634738146349
19,Ga O Si V       ,10.913414052491769
246,Bi Co O Si      ,8.86553053754053
498,K O Rb Ru       ,8.521916245315412
161,O Ru Si Sr      ,16.04418037479816
117,Ca Mg Mo O      ,8.556801475759311
289,Ga K Mn O       ,7.391135068575612
140,Ge O Ru Sr      ,10.14899488799818
265,Bi Na O Ru      ,6.3063252867854995
222,Bi In Mo O      ,8.271647434415408
130,Al Co In O      ,8.453686823456037
272,Ba Li Ni O      ,8.027073564417613
326,Ga K Mo O       ,8.742695718735458
354,Fe Li O Sr      ,8.753974280940643
421,Bi O Rb V       ,8.035380361955898
475,Cs Li Ni O      ,7.845817892257859
438,Cs Mg Mn O      ,7.274351039919939
8,In Mg Ni O      ,6.83299561351025
309,K O Ru Si       ,10.501450950487458
66,Ga Mo O Si      ,10.564895826774817
337,Ge Ni O Rb      ,9.14095709921792
34,Ge In O Ru      ,8.386076751677004
442,Cs In O V       ,6.725240021271265
207,Co Ga Na O      ,7.3518741017284785
124,Co In Mg O      ,7.621857704912047
435,Cs O Si V       ,10.727777725473182
94,Co Ga Ge O      ,9.165104229009774
63,Cr Ga O Si      ,9.070507500412049
23,Ga Mn O Si      ,9.57434189151455
480,Ca Cr Cs O      ,5.566513885759961
312,Al K O Ru       ,7.943173156092479
298,Fe In Na O      ,7.010817359683702
472,Cs Na Ni O      ,6.687057944497793
172,Al Bi O V       ,7.760301165053519
53,Ga Ge Mo O      ,9.80856426963684
255,Bi Li O V       ,7.648193241120757
