phases,average probability Tc>10K
As Ca Fe Mg Mn Na O V,0.8868787760999999
As Ca Cu Fe Mg Na O,0.8862277826000002
As Ca F Fe Li Mg Na O,0.8811955014333336
Ba Ca Cu Fe La O Y,0.8808724288333337
Al Ca Fe K Mg Na O Si,0.8793821779666663
Al As Ca Fe H Mg Mn O,0.8793245888333329
Al Cu Fe K Mg Na O Si,0.8791705027333332
Al Ca Fe Mg Mn Na O Si,0.878732419666666
As Ca Fe H Mg Mo Na O,0.8786959040666664
Al Ca Fe Mg Mn O Si V,0.8785427070333335
Al Fe Mg N Na O Si,0.8784418963999995
As Cu Fe H Mg Mn O Si,0.8783292261666668
Ca Cu Fe Ga O Sr Tm,0.8782993149666672
Al Ca Fe Mg Mn Na O P,0.8782585955333334
Ba Ca Cu Fe O Y,0.8772368971000005
Bi Ca Cu Fe O Sr Y,0.876259808566666
As Cu Fe H Mo N O,0.8760911258666663
Al As Fe Mg Mn O Sb Si,0.8756997609333337
Ba C Fe H Mn N O Rb,0.8755895389666669
Ca Fe Li Mg Mn Na O P,0.875304954766666
Al Ca Fe H Mg O Si Sr,0.875191371933333
C Cu Fe H N Na O,0.8748683103666667
Al Ca Fe H Mg Na O P,0.8748092837666667
Al Ca Fe H Mg Na O Si,0.8748082683000001
Al Ca Fe H Mg O P Sr,0.8747965013666662
Al C Fe H Mg N O Si,0.8747898162333341
Al As Fe H Mg Mn O Zn,0.8746836307666668
As Ca Fe H Mg Mo O,0.8745592402333328
C Cu Fe H K N O,0.8745502172666674
As Ba Fe H Mn O Sr V,0.8744476470999998
Ca Co Cu Fe Ga O Sr Tm,0.8744280460000001
Ba Fe K Mg Na O Sr Ti,0.8743163339333335
As Ca Fe H Mn Na O,0.8742428722333337
Al Ca Fe K Mg O Si,0.8741521918666664
Al Ca Fe H Mg Mn O P,0.8741371904999998
Ca Fe H K Mg Na O Si,0.8740348664666665
Al Ca Fe H Mg Mn O Si,0.8740080685333336
C Cu Fe H Mn N O,0.8739974419333337
As Ca Fe O Sr V,0.8738700096999994
Ca Cu Fe O Pb Sr Y,0.8738182683000004
As Br C Fe H Mn N O,0.8737916805333334
Al Ca Fe H K Mg O Si,0.873643236233333
Ca Fe H Mg Mn O Si Zn,0.8735446443333332
Al Ca Cr Fe Mg Na O Si,0.8735324568
Ca Fe Mg Na O P Y Yb,0.8732527714000002
Al Ca Fe Mg Mn O Si Ti,0.873235746766667
Ca Fe H Mg Mn O P Zn,0.873103905033333
Al Ca Fe Mg Na O Si,0.8731019928333335
Al Ca Fe Mg Mn O Si,0.8729669302666665
Al Ca Fe Mg Na O Si Ti,0.8729056032333343
Ca Fe H K N Na O S,0.8726158629333328
Al Ca Cr Fe Mg Mn O Si,0.8725092653999993
As Fe H Mg Mn Na O,0.8724213161000007
C Fe H K N O Si W,0.8720499045666666
Al Cu Fe Mg O Zn,0.8718749436666673
C Fe H N Na O P W,0.8717276788
C Fe H K La N O Pr,0.8716551135999996
Al Ca Fe H Li Mg O Si,0.8715983090999996
Al Ca F Fe Mg Na O P,0.8712248063666673
C Cs Fe H N O Re Se,0.8710915663999992
As Fe H K La Na O W,0.8710557722333345
Ba Fe K Mg Na O,0.8710467054000003
Ca Fe Mg Mn Na O Si,0.8709953153
Al Cr Fe Mg Mn O V Zn,0.870977612533333
Al Ba Fe H Mg Mn O P,0.870738793366667
Ba C Fe H K N O,0.870680428433334
Al Ca Fe Mg O Si Ti Zr,0.8704344779666671
Al Ba Ca Fe H O P Sr,0.8703194684666666
As C Fe H Mn N O,0.8702947284999997
Ca Fe Mg Mn Na O P,0.8702898859000002
Cu Fe H Mg O Te Zn,0.8700162926999998
As Ba Fe H K Na O,0.8700093943333331
C Cu Fe H N O,0.8699886340333338
C Ca Fe H N O,0.8699655471333324
