phases,average probability Tc>10K
Cu Fe Mg O,0.8284694507666664
Ca Cu Fe O,0.8271188300333333
Ca Fe Li N,0.8263464657666665
Ba Fe Li N,0.8257273401000004
Ba Fe Mg O,0.823461820033333
C Fe K N,0.8213679165333333
Fe Li N Sr,0.8212770091666662
Ba Ca Fe O,0.8200875404666664
C Fe N Na,0.8195455588999995
Cl Fe N Se,0.8188023129666664
C Fe N O,0.818419516233333
C Cs Fe N,0.8165046922333333
C Fe N Y,0.8164697974333331
C Fe N Sr,0.8161371856999999
Al Fe Mg O,0.8156715558333331
Fe Mg O V,0.8154241042666671
Br C Fe N,0.8153600684666661
Fe N V Y,0.8152903946666666
Br Fe N O,0.815114421266667
Cs Fe N O,0.8149528018999999
C Fe N Sn,0.8147524040000003
As Fe K O,0.8147424808000002
Fe Mo N Y,0.8146299600666665
Cu Fe O V,0.8137921804333329
C Cu Fe N,0.8137308336999999
Ca Fe Ga O,0.8136759555666667
C Fe Mn N,0.8136179012333334
Cl Fe N O,0.8134515254999997
Cu Fe O Se,0.8130628468000001
Cu Fe O Y,0.8130550527
Ca Fe O Se,0.8127232307333333
C Fe Mg O,0.8125920724000002
Ba Fe Ga O,0.8121760380333336
Li Mg N V,0.8117905758333332
Ba Mg N Nb,0.8113847889333334
As Fe Na O,0.8113191950666667
Fe Li Mg O,0.811021270133333
C Fe N Tl,0.811001208866667
C Fe N Zn,0.8107793866000002
Fe Mn N Sr,0.8107264413666676
Fe H N Se,0.8105285485666675
Cu Fe Mn O,0.8099900600000006
C Fe H N,0.8098690287
Ba Fe O Se,0.8097909550333335
As Fe La N,0.8096685131999997
Fe Mg O Zn,0.8095896267333335
Fe Mg O Sn,0.8095637523999997
As Fe Li O,0.8094522849333331
Cu Fe Li O,0.8090072483999992
Bi Fe Mg O,0.8089362529999995
Ba Fe K O,0.8088438596333334
Cu Fe Mo O,0.8084411311666667
Cr Cu Fe O,0.8084003821000003
Cu Fe O Sr,0.8080403225333337
Fe I N O,0.8079463164000006
As Cs Fe O,0.807897597333334
Fe Mo N Pt,0.807683792766667
Cl Fe H N,0.8076467246000005
Al Ca Fe O,0.8074601305833333
C Fe N Pt,0.8072131467666662
As Fe O Rb,0.8069878647000003
Cu Fe La O,0.8068381210333331
Ba Ga Mg N,0.8064659038333333
Ca Fe Mo O,0.8063062646666667
As C Fe O,0.8059424420000004
C Cd Fe N,0.8058929040999998
Ca Fe O V,0.8058040401333332
Cr Fe Mg O,0.8057117077000001
C Fe N Pb,0.8056695141999997
C K N Nb,0.8055664203666668
Er Fe N V,0.8055430871666666
Cu Fe O Zn,0.805436791666667
As Fe La O,0.805419313933333
Br Fe H N,0.8054175792
Ag C Fe N,0.8052159537666665
Ca Ga Mg N,0.8051572656
Fe H N O,0.8049447806
Ca Fe O Y,0.804788354833333
Ba Fe O Y,0.8043748686333333
As F Fe O,0.8043475413333334
Ga Mg N Sr,0.8041930340666668
