,phase,predicted Tc,true Tc
2100,As Ca Fe Mg O Ti,29.147355981619654,42.5
305,B C Ni Sc Y,17.79823390310336,15.1
524,Fe Ru,3.297176909838232,0.165
421,Bi Cu I La O Sr,29.912038467746196,70.0
649,Rh Ti,3.301394365974876,4.28
1728,Br Ca Cu Na O,48.92849410917749,18.0
713,Cl Hf Li N,17.3925631917608,26.0
4027,Bi Ce Cu O Sr Tm,23.179505371035592,0.0
4016,Pb S,3.280908955548014,0.0
3402,C Lu,3.345783080923942,3.33
1508,As Ca Cr F Fe,35.67512269944067,0.0
55,Ba Cu Hg La O,51.064642274633506,3.05
187,B C Dy Ho Ni,13.002508088947918,8.116666667
203,C La Os,6.51982280636864,73.0
4171,Ce Cu Sb,6.19123786307365,0.0
4042,B Mn,3.3176623202650934,0.0
2294,Cd Cu S,6.250762380815367,1.3
4003,B Sm Y,6.021575470393463,0.0
440,As Fe Ir O Sm,20.820954982043006,18.3
1669,Os Sn Tb,5.729286704885763,1.4
2959,Pb Pd Sc,6.1894302745760275,2.4
69,Ca Cu O P Sr Y,47.71095585463707,84.0
3951,Ba Cu Lu O Y,48.677484022196246,0.0
2599,Co Ge Pd Sr,15.537579532537839,2.58
1200,B Ba Cu Gd O,20.60739836799125,0.0
85,N P V,7.282764443805961,4.93
1610,Cu Mo O Sr Y,19.139657769546506,78.0
896,Co Ni P,5.779039404064464,0.0
3427,Ca Zn,3.280908955548014,0.0
198,Cu Hg Nd O Sr V,25.74509686189082,2.3
487,Cl H N Yb Zr,20.038106399513794,3.55
432,Nb Pb S Sb,14.66038406809589,12.1
3476,Mo Re Se,5.966334521265,0.0
3369,Co Ge Sr,5.748409221079288,0.0
267,Ca Cu Lu O Pb Sr,43.9662022511951,26.2
3185,Cu Pd Sb,5.889676267408247,1.56
723,Ca Ce Cu O Sr Tl,44.393990532624,5.0
606,Cu Dy La Mn O Sr,20.367141482158225,27.3
462,Ag Cu La O Sr,19.825671111458743,10.5
236,Co Ga Pu,6.172619250057619,4.2
2327,B Ge Ta,6.723738155050921,3.8
3631,Cu La Na O Sr,22.29472590531181,37.0
2295,O Sn,3.280908955548014,3.81
1847,Ba Cu O S Sr Y,48.21977654698451,78.1
1741,Co In,3.280908955548014,3.95
1828,Ba Cu Gd Mo O,47.63239289421115,82.4
528,Ba Cu La O Ta W,47.749114542299196,23.9
2762,Nb Pb S Ta,11.315601746464704,2.01
1812,Ge Th,3.301394365974876,0.0
4069,Bi Ce Cu Eu O Sr,22.882553538718888,27.0
3733,Ce Sn,3.280908955548014,0.0
1905,Si Th,3.301394365974876,2.862
1053,As La Pd,5.500365164304699,0.97
174,Ce Sb Ti,6.209404366561983,7.0
2620,Au Ta,3.3176623202650934,0.51
169,Be Th U,6.071985511731115,0.67
3256,Cu Hg La O Pb Sr,28.435156012832113,30.0
2960,Ca Cu Ga O Sr Tm,44.904285536414456,51.0
117,Cu O Pb Sr Tl,19.633072915078795,72.0
422,Be Sc U,6.148218574250875,11.0
1767,Sb Tl,3.280908955548014,5.2
1257,Ba Ge Ni,5.147423500549539,0.0
3324,Ba Cu Fe O Yb,47.333362093023425,72.0
2456,Li Nb S,6.379912200308759,0.0
2369,Na Pb Te Tl,13.918598475428563,1.87
3635,Ir Lu Sn,6.180175046195396,3.2
501,Ba Bi O Pb,23.816617096498234,11.23
484,Ga Sn V,6.77394706912189,10.7
3868,Al Cu Ni Zr,12.065035923205453,1.35
785,In Se Sn Te,15.383441855764938,3.9
4065,W,3.357219537343939,0.0157
94,Ba C,3.297176909838232,7.0
577,Cl N Na Zr,15.203453314702076,15.0
3241,As Ca Fe Ho Pt,24.56039825193921,19.5
1509,Co Rh Sn Tm,13.55256492930044,1.97
1658,La Rh Si,5.66577013971479,4.4
1008,Au Nb,3.3176623202650934,11.1
1089,Re Sc,3.3777049477708005,2.2
21,B C Ce Ni Y,18.03187610241781,13.8
3386,Co Sc Si,5.989076115089955,4.81
1356,La Mo Se,6.053898736688716,11.23333333
3814,As Zr,3.3176623202650934,0.0
282,Ce Cu Gd O Pb Sr Tl,21.853849326149103,3.0
3943,B Lu,3.301394365974876,0.435
3990,Mg Ni Si,5.7464574135023945,0.0
756,Be Hf,3.3176623202650934,0.0
4004,As Ca Cs Fe,12.958354233305611,31.6
508,Ag Sb,3.280908955548014,0.037
526,C Ni Sc Th,12.706683746731315,16.0
1094,Mo Nb,3.3939729020610185,8.41
980,Ca Cu O Pb Sr Y,48.481936083437034,77.0
1622,Fe Se Sn,6.260727314961548,7.0
3293,As Fe O Sc Sr,19.873561337593152,0.0
418,Al La,3.301394365974876,5.986666667
450,Bi H Th,7.5762329455016015,5.2
89,Au H Ir Nb,11.193625141604553,52.0
1720,Mn O,3.280908955548014,0.0
4166,As Ca Fe La Pd,24.995503827987772,13.5
2033,Os Re Y,5.875675241752525,2.0
164,Nb Sn Ti,6.26183727181618,17.9
508,B C Ni Pt Tm,18.622688364005793,11.8
2165,P Pd Sm,5.624297717083542,0.0
3551,As Fe O Pr Te,19.873561337593152,25.05
244,Ba Cu O Tl,51.60453524708942,95.0
800,As Ge W,6.427065190105421,0.0
1007,B Ru Tb Th,12.064697165259851,0.0
3190,Ni Si Ta,6.723738155050921,0.0
3975,Bi Sc,3.301394365974876,0.0
3359,S,3.280908955548014,13.0
1461,Ag La,3.301394365974876,1.073333333
2058,Co Fe Se Te,14.921566648713501,13.3
1225,Bi Pb Tl,6.0396668866164465,7.214
1955,K Mo O,8.379107377604955,7.25
813,C Mo,3.3620510352141597,14.7
492,Fe Ru Si U,12.851916420535169,1.966
144,B Ca Pt,7.394399761602533,1.57
1558,B Ce Os,6.443589743848879,3.5
2569,Tc Ti,3.3777049477708005,10.56
154,Hg Mo S,6.094804960129698,36.0
1222,Ca Ga Ge,6.230341567801247,0.0
141,Gd Pt,3.280908955548014,0.0
3099,Cd Cu Se,6.481190222674351,1.3
256,B Ir Th,6.15032656984843,2.09
2067,Ca Cu La O Sr Tl,49.18026210242722,90.0
1159,Al Re,3.3176623202650934,3.35
502,Ce Mo Pb S,11.919747601431517,30.0
333,Al Ge Rb,5.994231657370249,66.0
123,Ba Cu O Pr Zn,51.70967799658557,2.4
708,Pd Sb V,6.721514163867693,1.13
1454,Rh Si Tm,5.758176400884196,0.0
3570,Ca Cu La O Y,46.08704821763425,40.0
3269,C Cu O Pb Sr Tl,26.835456029236262,71.0
2517,Al Pd Y,5.83812069262337,2.2
2157,Tl,3.280908955548014,1.989218182
130,La Nd Rh Si,10.522785683088024,11.0
1248,Mo Ni O S,14.271327079431728,0.0
3458,Pb S Te,5.932808992066694,6.03
779,Ba Ca Cd Cu O Pb Sr Y,53.873891264964215,49.0
83,Al Ge Nb,6.8510550568447375,21.0
1202,Bi Cu Se,6.230341567801247,3.8
2972,B Nd Y,6.021575470393463,0.0
25,Ac,3.280908955548014,5.69
410,Al B C Mg,12.174866120465149,6.9
506,Ba Co Cu O,40.62072528267013,0.0
3029,N Zr,3.3176623202650934,9.85
560,Hf Pd Rh Si,11.531461249402858,3.13
670,Na Pb,3.5296243623832875,7.2
2158,Ce Co In Zn,8.844657304329715,2.14
1809,As Fe Gd O Te,20.449529547727938,25.0
4087,Sc Tc,3.3176623202650934,10.9
736,Ce Cu Eu La O,19.79675762596721,17.5
1684,Mo Pb,3.357219537343939,3.52
3258,C Lu Sn,6.180175046195396,5.2
971,Cd In La,6.162380719478295,9.55
1682,Fe P,3.280908955548014,0.0
326,Ce Cu La O Pr,19.145823789455964,27.0
3890,Ge Sn,3.280908955548014,0.0
1176,As F Fe La O Sb,24.24790069536692,30.1
2484,Bi K La O,19.570223104861704,12.2
2095,B Co Lu,5.819633000147163,0.0
1351,Ir U,3.3176623202650934,0.14
3922,Al Na Si,6.75409957166843,7.2
864,Th U,3.3176623202650934,1.182
1129,C Lu Th,6.333781347618527,11.7
88,In Mo S,5.843956305256596,40.0
166,Cd In,3.280908955548014,3.3445
2061,Pd Ru Sb,5.889676267408247,1.57
2360,Ce Co In Ir,9.489700342702395,2.0
2975,Ba Cu K La O Ti,46.53445070385092,0.0
3837,Nb Sb Ti,6.209404366561983,3.05
288,As Ba Ga,7.4584871287520755,8.0
1919,Ba O Sb Ti,10.1178949567855,0.964
2490,B C La Ni,6.992931987100734,0.0
64,Al Np,3.3176623202650934,0.0
3209,B Ca Pd,6.16892052407648,1.0
1216,Lu Ni Si,5.7464574135023945,0.0
96,B Co Er Rh,8.431991074972887,4.75
3894,P Pd Pr,5.624297717083542,0.0
2957,Eu Os P,5.69835213027686,0.0
4170,Ba Cu Gd O Ru Sr,47.68570586376381,39.0
2543,Br Cl Li N Zr,18.75915928201383,14.4
3738,Cu O Pb Sr Tb,19.193634219998692,0.0
1803,B C Ni U,11.616805760532268,0.0
2217,B Er Ir Rh,8.793643073508465,7.95
3496,Rh Sc Si,5.989076115089955,8.405
179,Ba Cu Hg O Sr Y,48.29075570676439,64.0
3371,B C Ni Tm,12.189239282780045,9.659
615,Gd Re,3.3176623202650934,0.0
1898,C Ce Ni,5.175697042690826,0.0
2772,Ge Lu Sn,6.180175046195396,0.57
3125,Ir Mo Nb,6.895486547610008,8.7
70,Mo S Tl,5.861925289397093,4.6
