phases,probability,norm. score,predicted Tc
Ca N Nb,0.7110638858333328,0.1665454219524015,10.411119
As Fe Ga,0.7125696348999998,0.1708618890714003,17.86099
As Fe V,0.7154154335666667,0.1298892370904024,20.51297
As Ca Fe,0.7162104883333336,0.1477138231572277,18.024817
N Na Nb,0.7187045777666664,0.1773721395411452,9.366698
Fe Mg V,0.7189092097333333,0.1588504438892016,19.838213
K N Nb,0.7194276664999997,0.1797537356358767,8.292974
Mg N Zr,0.7200399036000006,0.1775875302155982,17.180529
Fe Nb Se,0.721230269766667,0.1240094424191831,10.058723
Cl N Nb,0.7237995343,0.1780547986585421,10.479948
As Fe Nb,0.7261125033999999,0.0902617846498951,16.612827
Fe Mg Nb,0.7278233509000003,0.1015727104236509,15.68408
As Fe Mg,0.7295151141000004,0.1557386243557911,22.84472
Fe N Nb,0.7432559580000003,0.1642753575751035,19.595205
