#phases,average probability Tc>10K
phases,probability
N Mg Fe,0.7467986604066664
N Mg Nb,0.7466965891333338
Li N Mg,0.7447394854333333
N Fe Nb,0.7432559580000003
N Ga Nb,0.7408629740000002
Li N Fe,0.7391382318999995
C N Nb,0.7355130170666665
N Fe As,0.7343221966999999
Fe Ga Nb,0.7340643408333337
N Fe Se,0.7326272115999998
N K Fe,0.73158478
Li N Nb,0.7310653901666673
Mg Fe As,0.7295151141000004
N Mg Mo,0.7281088617999998
N Mg V,0.7280949076666668
Mg Fe Nb,0.7278233509000003
N Mg Cl,0.7270383185000004
N Cl Fe,0.7261977047766657
Fe As Nb,0.7261125033999999
Mg Fe Se,0.7257596455000004
N Ca Fe,0.7256876523866668
Li Mg Fe,0.725250119866667
N Na Fe,0.7251731865766667
N Cl Nb,0.7237995343
N Nb Sn,0.7235531900666667
N Zr Nb,0.7235005318333335
N Mg K,0.7233381380666666
V Fe Ga,0.7230902575000008
Li C N,0.7223119556000004
N Mg Ga,0.7220396597666664
N Al Nb,0.7214486707333333
C N Mg,0.7213931432
Fe Se Nb,0.721230269766667
N Fe Ga,0.7210114226333337
N V Fe,0.7208887229666668
N Mg Zr,0.7200399036000006
N K Nb,0.7194276664999997
N Nb Mo,0.7191992699000006
C N Mo,0.7190632744666665
Mg V Fe,0.7189092097333333
N Na Nb,0.7187045777666664
N Na Mg,0.7184735951999999
N Fe Mo,0.7184011588466672
C N Fe,0.7183742583000003
O Mg Fe,0.717770400206667
Fe As Se,0.7169039222333331
N V Ga,0.7165158253333331
Ca Fe As,0.7162104883333336
N Fe Rb,0.7156099559433327
V Fe As,0.7154154335666667
C N K,0.7146260648
C N V,0.714307850766667
Li Fe As,0.7139043467666665
N V Nb,0.7134335555333335
V Fe Se,0.7133240221333336
N Fe Ba,0.7132803038000004
Li N V,0.7129069709666662
N Mg Rb,0.7128512906333334
Mg Fe Ga,0.7127684109999997
Fe Ga As,0.7125696348999998
B N Mg,0.712403558166666
Li Fe Se,0.7112894544999999
N Ca Nb,0.7110638858333328
N Nb Ba,0.7108161676333334
Li N Cl,0.7107887504666671
O Fe Cu,0.7102470790666671
B Mg Fe,0.7099799659666668
N Rb Nb,0.7099390224333335
Fe Ga Se,0.7098990691333336
K Fe As,0.7095446175999996
Fe As Ba,0.7091506975666664
N Fe Cs,0.7090301928066668
N Fe Zr,0.7089892439
Li N Zr,0.7086438646666668
O Fe As,0.7084411149333336
N Br Nb,0.7080883286666672
N Mg Ba,0.7079587502000003
Li N Mo,0.7078388919666672
Li N Ga,0.7074797026000003
N Mg Cs,0.7069214401666667
K Fe Se,0.7067609663333335
Li N K,0.7066754017333335
Na Fe As,0.7066746920666662
C N Na,0.7066047138000002
N Cu Nb,0.7065256515666669
Mg Ga Nb,0.7054322262333332
N As Nb,0.7053622989000001
N Mg Br,0.7050325649000003
C N Cl,0.7048303373666664
Ca Fe Nb,0.7045744881000002
Fe Se Mo,0.7045005172666671
V Ga Nb,0.7043918647666663
C N Zr,0.7043489024666666
Fe Nb Sn,0.7042787411999999
Ca Fe Se,0.7041798829666668
Mg Ca Fe,0.7041719571666665
Mg K Fe,0.7038386375
C N Rb,0.7036449351333333
N Y Nb,0.7034689788999995
N Mg Ca,0.7034261146666669
Fe As Mo,0.7032881241999996
H N Fe,0.70326524228
Mg Fe Mo,0.7031654002666664
C N Ga,0.7029160088333336
Li Fe Nb,0.7028207754333332
Na Fe Se,0.7020396422000006
Na Mg Fe,0.70196788415
N Cl Mo,0.7016422948
C N Y,0.7014974829666665
N Mn Nb,0.7012578032333326
N Mg As,0.7007873656666666
Fe Se Ba,0.7007412670666668
V Fe Nb,0.7004723781333339
H N Mg,0.6999469022999995
C N Cs,0.699745720033334
N Cl Zr,0.6996287843666672
Al Fe Nb,0.6995310412000002
N Nb Cs,0.6990680172666669
N Zr Mo,0.6989975867666666
H N Nb,0.6989016657666663
N Cl Ga,0.6988508275333328
N Mg Y,0.698567823
N Nb I,0.6985602201000002
N Mg Sn,0.6982973580666665
N Ga Mo,0.6981048734000005
N V Mo,0.6980391379666668
Fe As Rb,0.6979079243000004
Na Fe Nb,0.6972623011333343
Li Fe Ga,0.6971845181333328
K Fe Nb,0.6971198030333338
N Sr Nb,0.6971190128
Fe Nb Ba,0.6970918971333336
O Mg Cu,0.6968701926666669
N Zn Nb,0.6963724631666667
C Mg Fe,0.6961735326000003
N Cl V,0.6960555650333337
