,phases,ranking
3710,Ca Cu Dy O Pb Sr,8.650968
762,La Pr Se,7.1008883
3373,O Sb Sm Ti,9.269842
3666,Nd Ru,5.6141367
1295,Al C Nb,8.563451
2047,Re Rh Ti,9.20665
909,C Ir W,5.8136125
559,Gd Mo O S Sn,9.5563755
2203,Bi Ca Cu Dy O Sr,9.3636
3647,Os Si,6.916686
177,Ba Cu O Sc Sm Sn Ti,10.074088
1186,Al Nb Se,7.565678
4172,Ga P,7.0100865
1784,As F Fe La Na O,10.2249565
2079,Bi Ce Cu O Sm Sr,8.849685
2797,Mo O Pb S,9.869398
423,Ba Ca Cu O Sr Y,10.182598
3833,Fe Si Tm,9.076802
1269,Hf Rh Si,6.71367
2602,Pb Se Ta,6.141014
510,Bi Ca Cu Hg O Sr,9.589826
2649,Al In La,9.162607
1283,Hf Nb,3.9850945
2996,Eu Pb S Se,8.266693
1005,Bi Ca Ce Cu O Sr,9.170095
2282,La O,8.607438
392,Ba Cu La O S,9.512163
488,Th Zr,4.6146374
706,Mg Tl,7.8622007
2856,La Si,6.9646354
2944,As H La Ni O,10.859111
1418,Fe Se Tl,6.9703717
510,B C Er Ni Pd,11.580962
3673,Ba Cu Fe O Tm,6.692738
354,B C La Lu Ni,10.911721
200,Ba Cu Eu La O,8.752043
1564,C H N Rb,9.151011
1394,Bi Ca I O Sr,10.249896
1688,Cu Fe Hg O Sr Y,8.8444605
547,Bi S,8.790304
3512,Al Pr Rh,8.782754
2667,Co La O,10.164137
1755,Cs F Li O W,10.985231
3752,Fe P Sm,5.700186
843,Au Sn,7.136168
600,Cu Rh S Te,9.482531
2235,B Pr Ru,8.125791
3829,Co Sn Ta,9.153311
577,Ca Cu In O Sr Y,10.406124
1016,Tm,5.580007
514,B Ir Rh Tm,7.4825525
884,Rh Se,4.6301546
1886,C Ce Th,6.9763656
3307,Cu O Sr Tl,10.593005
2733,As Hf Zr,8.321183
11,Cu La O Pb Sr,9.182051
45,Mo Ru Zr,6.704803
200,Cu Ge,7.382883
2544,Co Sn,8.309683
3521,B Ru Sm,7.778823
3688,Sn Zn,8.812576
319,Al H Ni Sm,10.545754
