phases,average probability Tc>10K
Fe N Nb,0.7466314495666666
Fe Li N,0.7390973720666658
Fe Ga N,0.7383141670333336
C Fe N,0.7351722545333336
Fe Mo N,0.7342922102999998
Ba Fe N,0.7329716299999997
Fe N Se,0.7324475944666669
Ca Fe N,0.732243800966667
C Mg N,0.7304815036000012
Fe Mg O,0.7302249473999998
Li Mg N,0.7291407040999996
Ga N Nb,0.7262040268000004
Ga Mg N,0.7261439773333329
C N Nb,0.7260201593999995
Fe N Zr,0.7249707216999992
Mg Mo N,0.7229428776333339
Fe Ga Nb,0.7226522493333333
Fe N Sr,0.7226014144333339
Cl Mg N,0.7217572450000003
Cu Fe O,0.7197190899666662
Fe N Sn,0.7193798928000006
Fe Mn N,0.7191628698333334
Fe N O,0.7185645245333335
As Fe O,0.7174971345333339
Fe N Y,0.7173439894999996
C Mo N,0.7169510802666672
Fe Ga V,0.7156595226333331
Li N Nb,0.7142971600333333
Mo N Nb,0.7142310516666669
C Li N,0.7130598878666666
As Fe Nb,0.7112670079999994
Al N Nb,0.7111305683999998
C Ga N,0.7102274755333332
Ga N V,0.7101229266333335
N Nb V,0.7096105170666664
Ca Fe O,0.7090372963133332
C N V,0.7089621791666665
Ba Fe O,0.7087148521999999
B Mg N,0.7076755899333336
Fe Nb Se,0.7075193506333336
C K N,0.7074995007
Ca Mg N,0.7064752008333335
As Ca Fe,0.705843367133333
C Cl N,0.705588881566666
N Na Nb,0.7055770334333332
As Fe V,0.7055077794333333
N Nb Zr,0.7053723537333334
Ba N Nb,0.7036688034999997
As Fe Ga,0.7034148456666662
Fe N Pt,0.7022842055999998
C N Na,0.7020015374666664
Ca N Nb,0.7018822444666664
As Ba Fe,0.7016683235333335
C Ca N,0.701430475333333
As Fe K,0.7007498464666675
Fe N Ta,0.7006435674333334
Fe Nb Sn,0.7005085157999994
Fe Ga O,0.6997219211999997
As Fe Se,0.6994163159000001
Al Fe Nb,0.6993787694666664
Fe Se V,0.6993440615999998
As Fe Li,0.6992005494333331
Ba C N,0.6991473391666662
