phases
Mo Pa Tl
Al Os S
Cd Ir Np
Cu Eu Pa
Ac O Ru
Hg Os Rh
Ge N Si
Cl Ho Li
B Be Cl
Ag Cr Si
Cl I Rh
Dy Er Pt
Au Sm Zn
Pu Re Sb
Hf Pm U
F Nd Y
Pt Sn U
Nb Pd Ta
Cu P Tm
Li P Rb
Cr Ir Pu
Cl Pd Xe
Cu La Nb
Bi Mn Na
Ca Ga Na
Ba Na Nd
Ac Bi H
Cu Eu Hg
Ni Ta Te
Ba Na Pt
K Sr Xe
Ga Gd Np
La Ta Tb
Hf Sr Tc
F Hf Sb
Cd In Sc
Au Rh Zn
Kr V Zr
Au Dy Gd
Fe Mn Np
Er Ir Se
Cu Ga S
Cu Ir U
Ni Pb Te
P Pm S
Mn Sb Th
Se Sm Th
As Ga Zr
K Kr Ni
Au Br Os
Hg Ho I
Cu Sc Tb
Co Li Ti
B P Zn
Hg Nb Th
Ac Bi Kr
Hf Mn Zr
Be Ga Na
Au H Xe
Nd Si Tc
Au C Hf
Br F In
Ca Kr Tb
Gd Pd U
F Hg Tc
B Cl Dy
B Dy Tl
Cu La Zr
Ac Rb U
Pd Rb Sb
Os Pu Sr
Ga Rb Te
H Mo Th
As Ru Sb
Au Sn Yb
Ce Cs Y
Ce He Sm
Be Ce Tl
Au Pu Sb
Mg Re Tl
Ag Hg Nd
Al Au Sr
Hf I Th
Mn Na Pu
F Pt Pu
Co Rh Sn
Bi Eu Sc
F Ge Rh
Cu Sm Tm
Sn Tm Y
Cd Ho Mo
Ag I Y
Er N Th
Hf La Pm
Lu Nb S
Eu Nd V
Ge Sb Sc
Er Nd Pu
Na Rh Te
Ba Pt V
Pr Re Yb
As Ba Pu
B Pd Tb
Pt S Tb
Mn Pd Zr
B Mo Yb
Ag Pd Sm
Cd Cl Kr
C Dy Pd
Bi H Nd
Cd Fe Tm
Ca Hg Sm
Ac As Mo
Ce F Re
Pt Sm Y
Pa Sm V
Ag Ho I
Bi Dy Mg
Tc Xe Zn
Ru Sm Y
Cu Ho Zr
As Kr Mo
Re Rh Sr
Ca Ni Xe
Bi Si Ta
Tb Xe Zn
Au N Ru
Ca Er Fe
In N Rb
Cd Ce Sr
Hg Mg Ti
He Sm Y
Dy He S
Au Ho K
Na Np Pu
Cu Mg O
Bi Cs Ti
Be Ca Y
C He Nd
Cl P Se
Cl Mg Pd
Er Mo Yb
I Kr Tm
Cr Hg Xe
Hg Np Y
C Rh Se
Fe Ga Si
B Ru Ta
Mg Ru V
Br Ca Re
Ir Sr U
Cl Dy Y
Ce Co Ga
Dy Mo Re
Ag Ga Mg
Cr Tb W
Rh V Y
Lu Re Sc
Br Nd Xe
Rb Tc Te
H Ta Te
Li Ru U
Cs Cu Zr
Ba Cr H
Er Th W
Ca Nd Ru
Cs La Sb
Er Mg Mo
F Xe Zr
Eu Ho Pa
Ca N Te
Ba Fe Pb
Ho Mo Ti
Na Se W
Np Sb W
Ac I Sc
Cl He Sm
As Ho Ir
Ac Ga I
B La Pu
Pm Rh Ta
N Pd Pt
Pa S Ta
Pa Se Sn
Cr He Si
Bi I N
C Ni Sc
Ba V Zr
I P Xe
F K Ni
Pb Sr Yb
Cd Eu Y
Ga Kr Li
Be Mn S
La O Ta
La Li Ti
Eu In Pr
Er Ir Pr
Cl N Pb
Fe P Pa
Nd S Zr
Na O Ta
Ga Ir Tm
Mg Pb Y
Mg N Nb
Be S Tc
As Cr Dy
Br Eu Pm
Be Ni U
Ho Pd Ru
As Ca Ta
Hf In La
Al Ir Nb
Pa Pm Pt
C Hf Pr
Lu Nb Pb
Ce Tb Xe
Co Hg Np
Hf Mn Na
Au Ce Pr
Be Ta Tm
Ir Rh Zn
Al Lu Np
Ac Ba Li
Bi Tb Yb
B Eu N
Ce Li Sm
Ge K Lu
He Li Ta
Mg Pd Pu
Cs Tc Zn
Au Gd Rh
Au Li Pd
Er Ga Os
Hg Pr Pt
In Nb V
Na Os Rh
Ca Hf Li
Cd Li Na
Ag F Lu
Na Re Zr
Sb Ta Y
Lu N Rb
Kr Tc Te
Ac Cl Nd
Ho Tl Xe
Ac Pr Tb
P Sr Te
C Ge Zn
Ca He Nb
Bi Mn Yb
Na Te U
Cd Mo Pa
Ac Ir Pm
Be Os Pr
Ba Hg P
Ca S Sb
Nb Np Os
H Li Pm
B La Se
Ru Tc V
Cd Dy Gd
Gd Hg Yb
Er Ge Ni
Ga Pr V
Ca I K
Nb Pb Pd
Er Nd Pb
C H I
Cu Np Rb
Ag Tb U
Au Dy Er
Eu Ge N
Ag P Pu
Co Rb Sc
Cs Gd S
Bi Cl Y
C He Mn
Ir P V
Ac Ca Rh
Co Ir Ti
Pa Pb Tm
Hg Se Yb
Ni Se Th
Hf Ni Pb
In Ir Na
Be Ni Sb
B Na O
Ir Si Sr
Ag Cs K
Br Tb Y
Cl He In
Al Fe Mn
Pa Pr Ru
Nd Te U
Ca Li P
Bi K Mo
Li Sr Zr
Cs Np Os
Np Rb Si
Ho Sr W
Al H Kr
C N Ti
Dy Eu Sb
He Mg Ni
N O Zn
Au Sb Sr
C Eu Mg
Bi Br Rh
F Ge Mn
C Pt Pu
Ge Sn U
As Ba Pb
Sn Tc Tl
I K Ti
Al Cl In
Cl Nd W
Br La Zr
Cl Cr Pb
Bi Sn Tm
Li Pr Zn
B Co Cs
P Pb Pd
Bi C Yb
Hf Kr U
Pa Re Tl
Cd Gd Nd
Au He N
Cr Mn Sm
In Os Re
In Na Tc
Ge Pa Sn
Bi Sb Sm
K Mg Xe
Be C Cd
Ba H Sm
Kr O Pb
H Rb Sn
Ge Kr Tm
Ba H Y
Hf Tm Zn
La Ni Sr
Au Ru Zr
Mn Pb Zr
Ag La Sc
Cr Cu Ho
Br Ga Gd
Mo Nb Rh
O Se Th
Be Pr Rb
Hf Sc Tl
Pm Ru W
Ge Kr Sb
N Os Sb
Al Cd Sr
Ho N Yb
Eu I Sn
Ga Ir W
P Pr Se
Ag Rh Th
Al Gd Pb
Mn Th U
Be Dy Li
Li Mg Np
Cr Sr Te
Ca Gd Lu
C Rh W
Cd Ge U
Cs P Te
K Pd Yb
Co Os S
Lu Sb Te
Ce Pu Yb
F K Pa
Cs La Pa
Cu Tb Zn
Mn O Pd
In Se Si
Pt Ta Tm
Pm Re Tl
Nd Pa Zr
Ho Si Sm
Al La Ti
Co H S
Cd Pu Tc
Bi I W
Os Sr Ta
Cu Er N
Ba I Li
B Cs Pb
As Cd Yb
Pm Pr Tb
H Hg Te
Cu F Ti
O Pd Ti
Bi Cd La
Cd H In
Au In W
Hf Ho P
Be Ce Li
Ac P Rh
As Er Hf
H Na U
Ho Ru Ti
Cs Pt Sr
Gd Li Pb
C Pt Si
H Nb Ta
Rh Se Zn
Co Fe Ho
Rh Y Zn
Hf Lu Pm
Cs Se Tm
O P Pu
Ca H Pd
As Ho K
Ca Ir K
Rb Tm V
Cl Na Pd
Cr H Zn
K Pr S
Cd Hf Tb
Ge Pr Zr
Br S Th
Ga In Tb
Cd Fe Ru
Be Sn Th
Be Ca Hg
Au N Pd
C Re Sn
Ag Ti Yb
Kr Tc U
Dy Hf Re
As N Rb
Ag Au Rb
Gd Si Zn
B Re Sm
He Tc Te
Ni O Rb
Ce Cl Kr
B Ce N
H Kr Rh
Cu Np Ti
K Pb Ta
Os Si Yb
Be Ce Ru
Au Cs Y
Ni Np P
Bi N Ti
As Li N
K Si Tc
B La O
O P Ru
Co Mg Ta
H La Sn
In Pt Ru
Gd O Pu
Er Pm Se
H La Ru
Hf Mn Pu
Er La Pb
Cd Pa Pt
Tl Xe Zr
Ge Nb Pr
As Li Re
Cd F Xe
Bi Ce Fe
Cl P Pm
Ir Tb Xe
Be Hf I
Bi Er Th
Kr Sb Se
Bi Ga La
N Re Te
Fe Ni Sr
Ga I Sn
Ac Os Sm
Os Ru Tm
La Tm Yb
C Ir Tl
Al Dy Ga
In Na Ni
La N O
Sm Th V
Np Se Th
Fe H La
Ba Cs Ge
H He Mn
Bi Cr Cs
Cd Lu Sm
Be Pa Yb
Al Mn Nb
As Co Cr
Kr La Re
Bi Br Pu
Ta Ti Y
Cd Co Ga
In Pb Ru
Ce Pr Zr
Ni Te U
Lu Mg Se
Ba Cr Tm
He Ho Na
P Sb Zr
Cl Hg Ir
Cd Cu Pm
Ce Cu La
Dy Lu U
He Pm Sb
Ge Mn Rh
I Mn Nd
C Th Tm
Ca Se Tc
Ca Cl Re
Co Ge Mn
Be Ga Li
Hf Nb Si
Cu Na Pa
Br Pt Zr
Eu F Xe
C Ce Sb
Fe Ga Zr
La Tc Y
Co In Ru
La P Si
Ce Gd Nb
As Tc Te
As Ir Mn
Al Pd Pt
Fe Re Sb
Cu I Nb
B Ge Rh
N Te Tl
Fe Tl Xe
Cs In Tm
Cs La Sr
Np Pt Sn
Hf Np Sc
Fe Mg O
Dy Ga Sr
Ac Er Pm
Bi Cu Rb
Al Ga Ir
Cd Pm Sr
Br Cr Hf
Ga Kr Yb
Mg Si Sn
Bi Eu La
Al Au Ru
Cu Th W
Pd Te Ti
He Re Ru
Fe Lu Re
Ac Er Ta
He Pb Te
Cu K Sn
He Pb Ti
Fe K Rb
Ga Kr Rb
Ge Se Si
Mn Sr Tc
Na Os Zn
Bi Lu Ta
La Rb Sm
As Si Y
Gd Nd Ni
Co Mg Zn
B Cr N
Br Fe Ir
Lu Ni Pu
Pm Si Yb
Co Hg Sc
Mg Pu Tl
Pd Rh V
Ba Lu Pa
Er Hg O
Br Pb Sm
Ca Np Sb
Br P Tl
Ce Pt Tl
Cs Nb Nd
Cl K Ta
Ho Np Sr
Gd Nd Zn
Ag Cs W
Au Br I
As Hf Sc
Mn Pd Se
Bi Mg Mn
Eu Sm Tl
B F V
Mn Mo N
Cd Se Yb
Au Nd Th
Cd Pa Pu
Ac Hf P
Ca Mo Yb
Be Os S
N Pm Ru
Hf Mg Sn
In U V
Gd Pt V
Be Pm Sr
Cs Cu Xe
B Dy Kr
Au Pd Y
Rb S Tl
Gd Hf W
Bi Cr Eu
In Nd Rh
He Si Tc
As B Cu
La Ni Pm
Ni Tb Tm
Au N Y
Li Mn Sn
In Na Zn
Ga Mo Pm
He K Na
Br Hg Pr
Hf Lu Os
Rh Ta Zn
Dy Pm Sr
Cs Os Pu
Mn Re Sc
Li Tm Yb
Al Ba Nd
Gd Ni U
Cs Sb Ti
Ce Mn Yb
Ga Lu N
Ca Nb Ni
Br Li Pm
Kr P Ta
He Kr Pu
Ac Ge Zr
In La Yb
Nb Si Xe
Kr Mo Sc
Er Ga Ir
N Np Ta
Pa Pr Y
Cu Sb Xe
Pu Sc Ti
B Bi Tc
Np Tb V
Ge He Lu
Ac Eu Tm
Be Br Te
In Pm Pt
Ac Au Cs
F I W
Rb Ru V
I Na Ti
N Tm Zn
Ca P Pr
F Hg Nd
Mg Mo Ru
F Ho Te
Cr Mg Os
B Ga S
Bi I Zn
Co Nd Os
H Re Tl
Tc Th V
Hg Ni Xe
Cd Eu Gd
Ir Li Sm
Al Ge Pr
Br Ce O
Er Kr Th
Cs Dy P
Cs Mo Tc
I Os Pm
H Rh Tm
As Np Xe
He Pb Sn
Cr Pd Tl
F He Lu
Pr Re W
I N Sc
Au Co Si
F Os Te
Au Pa Sb
He Np Te
Pt Re V
Ba Hg Tm
Bi Mn Np
Au Fe Pa
La N Pu
Rh Tc U
Mo Nb S
Dy La S
Fe Ge La
Ce He Rh
Ce Mn U
La Pu Tc
In P Yb
Pa Rh Tc
Ca Hf Y
Cl La Si
Ge Re Ti
Cu N Se
Pt Th U
Ac Br Pt
K Sb Ta
As C U
As Mo Sc
Co H Ni
Ce Np Os
As Cl Sb
Cu H Y
H Pt Si
Pd Pm Xe
Mn O Rb
Ba Sb Sm
K Lu Mo
Ga Nd Ru
Hf Pb V
H Pa V
Co P Sr
Li Ta Tb
Br Er Y
Kr Li Mn
Os W Yb
Au Hg Pr
Ca Sr Tl
Cs Dy Mn
He Hf Ta
Ge Li P
Cu Sb Tm
Ge Li N
Au Cu Li
Se U Zn
Ac Rh Y
Kr Ta Y
Be F Pb
Kr Mg Tb
As Sc Sm
Ba Co Sb
Ac F Pr
Kr Sc Tm
Rh Se Yb
F Gd Y
N Pb Sb
Pd Re Xe
As Pm Pt
Re Sb Ti
Fe H Yb
Pt Sb Zn
Gd Pt Ru
Au Ge Mo
Cl Mn Tb
Ag Rh Ru
Ce Cs W
Cu Eu P
Er Mo Rb
As Mo Na
Cr Pt Sb
Hf Li Sr
Mn Os Pd
Cu Tb Y
Ca P Sn
Ba H N
Ac Mn Y
N Os Tc
Ag Sm Tm
P Sr Zn
Gd Tc Zr
Ca V Zr
Cr H Ir
Th Tl Zr
Cs Na Te
Al Be Tb
Fe K Pa
Au Cs Th
F Ru Zn
Er Rb Yb
Ba Pm Th
Ga Pd Zr
Fe Hg Xe
Br Si Te
Mo Pd Sr
Cs Re S
Cl Mn Zr
Ag Pd Sr
Ba Cs Pu
Nb Rb Sc
Ac Ge U
S Tl U
Nb Ta V
Pb Rb U
Cd Nb Y
La Rh Tm
C Hf O
Ca I Pa
Hg S Ti
As Br Hf
Ag Ho O
As Ru Y
Sm Sn Tc
Pm Re Sb
Be Hf Tc
Ba Er Ho
Bi Pr Te
Na Pu Sc
Eu Si Sr
Cr F Ir
Ni Ru Sn
Mg Pm Tb
F Fe Pb
Os Sc Tl
B Ba Zn
Ce Fe O
Al Bi N
K Ni Sc
Al Fe Li
Si Sm U
Ag Bi In
Bi Cu Kr
Ba F Mo
I Mg Mo
Pm Rb Tc
H Tl Tm
Gd Ho K
He In K
Cd F La
Cd O S
Hg Ni Si
Ir Lu Nb
Ag Ho Tl
Ac B Lu
P Tc Y
Co Np P
Bi Tb Ti
Pu Yb Zn
Bi Ge Si
Cd O Pt
Lu Pt Te
B Br Si
Au Be Li
B Lu Np
Mg Si Sm
P Ta Tl
Ir Os S
Ba Kr Se
La Mg Zn
As Pb Zn
K Se Yb
Ti Tl V
Fe He Pm
Mn Na Pm
Al Cd Sn
Al Pt Tm
C Gd Kr
Ca Cs U
Ho Tl Y
B Rb Tb
Au Cu P
Cu Ho Ir
Hg Pu Tb
Cu Th Y
Cu Tl U
Sc Si Xe
F Np Sn
Li N Y
Nb Si Ta
B Ho P
Ge Ru Sc
Au B W
Cl Cu U
Ru S Se
Al Cl W
Hf P Sm
Cs He Sr
Cd Se W
K O Te
La Mn Tl
Ho Tb V
B Mo Pt
Cs Tl Zn
Cr Mg Mn
As Hg Pa
Cl Dy Nb
Al Os Zn
Bi Pa Th
Ac Mg Rh
Lu Mg Sb
Ca La Ru
I Pu Si
B Sn Ti
Ba I La
H W Zr
Ho Os Zn
C F Kr
Al Cs I
Dy Li Sr
Ac Hf Yb
Bi Br O
Pu Sr W
Ag Lu Na
Cr Lu Sm
Ge Ta Tm
Br Fe Pm
Be Cs Rb
Pu S Zn
C H Si
Au Mo Pa
Ag Au Te
Mn Rb Y
Cs Hf Nd
Au Kr Pr
Ir Mn Rb
Ga Gd U
Er Hf Ir
Bi He Na
Ge Mg Pr
Cs Er O
Cs Cu Dy
Ag Hg Pt
Ba Pa Zn
Gd I Zr
B Co O
Rb Sc U
Hg Pr Si
Ce Ni Yb
Au Pb Sn
Au Ga Ge
Fe Nd Rh
Hf Nd Re
B Eu Hg
Hf Pd Ti
I Pm Ta
Eu Pa Zn
Na Sm Ta
Cd Tc Tl
Ir Pr Sm
K Nb Re
Gd Nb Pb
Pm Se Yb
Ag Co Lu
Cd Cl He
Re Te Yb
Dy Er Se
Ag Al Ni
Ca Pb Rb
Ca Dy In
Cl He Nb
C Hg Na
B Ru Si
Al Gd W
Eu Na Ru
Ba Dy Ga
Ag Y Yb
Ce Nb Sc
Pr Si Te
C Te Th
Cd F Zr
Kr Se Te
Hf Os Zn
Lu Rb V
F Ge Ti
Pm Sr Yb
Ca Lu Ni
Ho Np Xe
Ge Nb Tl
Nd Ni Tl
Ac B Ge
In Os Pt
Ir Mo Pd
Al Ba Dy
Ga Np V
Er K S
Cd Np Xe
Pd Se W
Mg V Y
Hg Ni S
Ba Co P
Gd I Pt
Bi Ir P
C Ce Cu
Ge La Mg
Gd Sr W
Cd Co La
Pt Si Te
Nd Rb Y
Br Os W
Ac Kr Li
Dy Ir Mn
Ac Re Tl
Lu Sc Sr
Cd Kr Tl
Fe K Ni
Ni Pu Ru
Al Li Pr
Eu Li Pb
B Na Tl
Au Na U
Na Sm Tl
Er N Rh
Be Ga Tl
C Ga O
Au B Hg
La Li Ni
Nd Np Si
Al Kr Pu
Cs Ge Os
Al H S
In O Xe
Ca Cl Ir
Fe Ho Pm
Mg Sr Y
Au Br Np
La Zn Zr
Al La P
Au La P
Cl Fe P
Co Rb Y
Nb Se Tb
Lu Mg Pa
Ir Xe Y
La Yb Zr
Eu Si Te
Cl La Nb
Cs Mo U
Ga Na S
Ir Mg Th
F Mo Sr
Al Ir Na
C Ce Cr
Cl In Mo
I Pd Ti
Ba Cr Np
K Mg O
H Rb Re
Ag He Xe
B Rb Y
Gd Nb V
B H Sc
Br Lu Y
Ca Lu S
Gd Sc Tm
B Cr Sr
Fe Pt Tm
Hg Pb U
Al Cu V
Pd Pm Zr
As O Pu
Ca Cs In
Cs Kr Ni
C Eu Yb
Ce Np Zr
I K W
Co Rh Ta
In Kr Li
Be Na Sm
Np Pa Pm
Ir Rb Tc
Pu Th U
Al Pu Sc
Ir Os Zr
Ge Li Pb
Ac Ni O
Na Os Pa
Gd Ge Ti
F P Tc
N Pb Th
Ac Co Zn
Ac Lu Pb
B Nd S
Dy Hg Pb
Nd Sc Te
Eu Nb Pr
Ba Pa Tc
Lu Re Te
K Mo Tc
Ca Ga Zr
Au Pa Pu
In Te Y
F Pa Zr
Ge Hg Re
Br Cl Li
Be Ir Tl
Hf Pr Sb
Br Cu Pb
Ni Pm V
Ir Sc Ta
Ag As H
Ir Pb Ti
Mo O Se
Ga Re Te
Cs He Pu
Ac As U
Ca Sc Sm
Nb Np Pd
K Rh Y
N W Xe
As Cd Ho
Ce Cs Li
Er Hg Tm
Au Th Zr
Bi Cu Na
I Tb Y
Bi La Ta
Au He Li
Nb Sr U
C Fe Pu
Nb Os S
Gd La Nb
Ce Pm Se
C Sn Tb
Gd P Pu
Na Re Te
Ag O Te
C Np Ta
Cl N Pt
Re Sn Tc
Li Lu Na
Mg Na Rh
Fe H In
Ce Tm Y
La Nb Th
F Se Tb
Ba Kr Pr
Br Re Ru
Ac Co Li
Ho N Zn
Ce S V
Lu N Zr
B Ga In
Ho Os U
Rh Sr Xe
Al Cl K
I Re Sc
Tb Th Y
I Li Pa
Co I Tc
In Pm Se
Na Ta Yb
Mg Sm Y
Ce F Zr
