,Phase,Formula,SG,Entry,Property,Units,Value
0,10,CuAl2,140,P20000008-4,energy gap,eV,2.7
1,21,Ag0.85Sb0.15,194,P20002199-6,energy gap,eV,2.5
2,22,Ag3Sb,25,P20006292-5,energy gap,eV,3.1
3,30,Y5Sb2Si2,64,P20000012-6,energy gap,eV,4.9
4,51,Ni2Al3,164,P20000025-6,energy gap,eV,2.9
5,54,Cr3Si,223,P20000026-2,energy gap,eV,3.3
6,78,ScRu2,194,P20007279-4,energy gap,eV,4.0
7,96,Sc11Ru4,225,P20007274-6,energy gap,eV,4.1
8,97,Sc2Ru,227,P20007275-6,energy gap,eV,3.9
9,98,Sc57Ru13,200,P20007277-5,energy gap,eV,4.9
10,99,Sc5Ru3,193,P20007278-6,energy gap,eV,4.4
11,100,Sc44Ru7,216,P20007276-6,energy gap,eV,4.7
12,104,Mg12Ce,139,P20008279-6,energy gap,eV,4.7
13,106,Rb2MgCl4,139,P20000045-6,energy gap,eV,6.1
14,130,LaO1.5,229,P20002594-5,energy gap,eV,5.3
15,138,Pb0.5Bi0.5O1.25,129,P20123778-6,energy gap,eV,5.3
16,152,ScF3,221,P20003686-4,energy gap,eV,5.7
17,178,Hf3Ge,86,P20003833-5,energy gap,eV,3.9
18,193,V5Si2.58B0.42,193,P20027385-6,energy gap,eV,3.4
19,230,La2O3,12,P20000097-6,energy gap,eV,5.0
20,234,Al[PO4],148,P20000098-5,energy gap,eV,5.4
21,668,Cr0.95Al0.05B2,191,P20000791-6,energy gap,eV,3.3
22,675,DyAl3,221,P20000797-6,energy gap,eV,3.3
23,707,Sm3Co11B4,191,P20009439-6,energy gap,eV,3.5
24,758,La4Ga2O9,14,P20010141-6,energy gap,eV,4.4
25,2010,Ni2Si0.75P0.25,189,P20002084-6,energy gap,eV,3.2
26,2086,VCl2,164,P20003151-5,energy gap,eV,5.3
27,2110,GdO0.67F1.66,59,P20003629-6,energy gap,eV,4.0
28,2152,NdSn3,221,P20003308-6,energy gap,eV,4.0
29,3346,Cu1.94Te,216,P20005506-6,energy gap,eV,3.6
