phases,max Tc
Ir U Zn,9.2
Ho Pd Si,3.5
B Co Fe Gd Nd,852.0
Fe K Mo O Sr,405.0
Co Dy Ni,67.0
Cu Fe Ga Mn Ni,310.0
K O U,16.8
As Fe Ge Mn P,403.0
Co Sn Tb,105.0
Gd Ge Si Tb,231.0
Co Cu Pt,190.0
Al C Er Fe,226.0
Co Ga Pr,860.0
O Te U,80.0
Fe Se Te,250.0
La Ni,70.0
Co Fe O Zn,643.0
B Co Fe Nd Zr,758.0
La Mn O Sr Te,351.0
Er Ho,39.0
Cr Rb Te,120.0
B Dy Rh,11.2
Nd Ni Pr,3.4
Co Er Si,719.0
B Ce Co Fe La Nd Pr,636.0
Mn Ru Sn,272.1
Cr Se Ta,120.0
Fe P U,3.15
C Nd Os,6.0
Cs Fe Mn O,698.0
Gd Pd,334.0
Co Fe Ga O,698.0
Cu Mn Sb,590.0
Mn Sb Ti,137.0
Ca Ga La Mn O Sr,135.0
C Fe N Nd V,685.0
Co Nb Sn,128.0
Fe Sc Ti,435.0
Ge Mn Tb,450.0
Eu Ge Ni Si,25.0
Ag Ce Si,7.0
Cu Li Mn O,37.0
Fe Lu O Y,639.0
Ba Co Gd Nd O,140.0
Pt Sn U,28.0
Gd Pr,165.0
Er Fe Ho,328.0
Co Fe La Mo,899.0
Dy Fe Sm Ti,574.0
Fe O,1612.0
Cr Ga Sb,350.0
Dy Mn Tb,56.0
Fe H Ho Mo,460.0
Fe P Rh,355.0
Co Sm Y,1200.0
La Mn O Sb,245.0
Ce Cr Fe H,398.0
Ca Fe O,160.0
Ga Ni Pt U,70.0
Ca Fe La Mn O,297.0
Cu Nd O,0.72
In Mn Tb,130.0
Ga Mn Sn Tm,369.0
Pr,20.0
Ce Ni Sb,7.0
B Fe Sm,645.0
C Er Fe N,725.0
Cu Mn Ni Sn,284.0
Co Cr Fe Sm,607.0
Cr Ni Te,338.0
Fe Sm Tb,431.0
C Co Y,1255.0
Mn O Sc Tl,125.0
Eu Mg Tl,23.1
Cu Fe Mn O,400.0
Ca La Mn O Ta,150.0
Fe Mo O Ti,225.0
B Er Si,14.0
Co Ge Th,120.0
B Fe Gd Nd,630.0
Co Si Tb,863.0
Co O Sr Tb,140.0
Ba Ni O P,14.5
C Fe La Pr Si,220.0
Cd Eu Ge K,9.3
Ce Fe La Nd Pr Si,169.0
Bi Mn Nd O Sr,275.0
D0+ Ni Sn Tb,10.0
B Fe Rh Sc,450.0
Cr O Y,9.0
B Ce Fe La Nd Pr,1158.0
Er Os,3.4
D0+ Er In Pt,15.5
B Fe,1015.0
Co Ho Si,837.0
B Er Ir,11.9
Ca Er Fe O Sn,312.0
Mn O Pr Sb,230.0
Fe Mo O Sr Zn,421.7
Al Ce Ga Pd,2.4
Ga Ho Ni,3.5
Mn Nd O Pb,185.0
Fe Mo N Nd Ti,673.0
Au Fe Pd,10.0
Ba Mn Sb,20.0
Fe Ni Th,530.0
Cr Fe O Sr,440.0
Fe Nd Sm,638.0
Mn Nd Sb,250.0
Fe Gd N Nd,768.0
B Ce Co,1081.0
Cr Gd Pr Sb,100.0
As Fe Nd,14.6
Er Ga Ni,8.0
Ba Fe O Ru,440.0
Al B Fe Gd,610.0
Cu Dy Ni,17.6
Ge Mn Ru V,200.0
Er O Ti,42.0
Ce Co Fe Ga,423.0
Ce Co O Sr,300.0
Co Pr,1200.0
Co Ru Sn U,83.0
Cu Gd Si Zn,195.0
Fe Nd Pr Si Ti,530.0
Ce Co Sb Sn,2.0
C Fe H Tm,562.0
Eu Fe P,99.0
Dy Ge Si,135.0
Eu Li P,21.0
Co Fe O,1008.0
Eu H Ir Sr,11.0
Ca Gd Mn O,120.0
Co Fe Gd Zn,15.0
Cu Gd Ge Mn,239.0
Cr Dy Fe Pr Tb,346.0
Ge Tb Ti,310.0
Co Fe Nd V,718.0
B Co Dy Fe Pr Re,680.0
Al Mn U,20.0
Cr Fe Si Tb,18.0
