phases,max energy gap,n compositions
Al Cu,3.3,4
Ag Sb,3.1,2
Sb Si Y,4.9,2
Al Ni,2.9,1
Cr Si,3.5,2
Ru Sc,4.9,6
Ce Mg,4.7,7
Cl Mg Rb,6.7,4
La O,5.3,3
Bi O Pb,5.7,5
F Sc,5.7,1
Ge Hf,3.9,2
B Si V,3.4,1
Al O P,5.5,28
Al B Cr,3.4,2
Al Dy,3.6,5
B Co Sm,3.5,2
Ga La O,4.4,3
Ni P Si,4.3,4
Cl V,6.3,3
F Gd O,5.5,2
Nd Sn,4.5,6
Cu Te,5.3,7
Cu Ni S,4.2,2
Al La Si,4.1,5
Ca O Ti,4.7,7
La Mg O Ti,4.6,6
Er Mo O,4.8,4
Li Mo O Rb,4.1,1
Ge Pr S,4.0,1
Ge Nd S,3.6,1
Ge S Sm,4.3,1
Gd Ge S,4.4,1
Cd Ge La S,4.4,1
Cd Ce S Si,4.3,1
Cd Pr S Si,4.6,1
Pr S Si,5.1,2
Cd Nd S Si,4.0,1
Nd S Si,5.1,2
Cd S Si Sm,3.9,1
Gd S Si,4.8,2
Na O P Pb,5.3,8
Li O Ti,4.8,11
Eu Fe O Sr,4.8,3
Ga Ni O,4.5,1
Ag Ge S,3.9,2
Lu O Sr,4.3,1
Fe Mg Mo Na O,4.5,3
Nb O Yb,4.6,2
Nb O W Yb Zn,4.0,1
Ag Cd S Si,4.7,1
Mo Nd O Zn,4.1,1
Cd Cu Si Te,4.4,1
O Y,5.4,4
O Rb S V,4.8,4
Cs O S V,5.1,8
Cu La S Sr,4.1,1
Cu Nd S Sr,4.9,1
Ba K O W,3.6,1
Al Cs Mo O Zr,4.7,2
Cs In Mo O Zr,4.4,2
Cs Mo O Sc Zr,4.6,2
Ag Hg In S,4.7,2
Ca O P Si,4.6,2
Lu N O Si,4.7,4
Bi O Ti W,5.2,7
Bi Nd O Ti,3.7,2
F Na O S,4.5,2
Ca Gd O Zr,3.3,1
Eu O S Sb,4.6,1
Dy O S Sb,4.8,1
Ho O S Sb,4.7,1
O S Sb Yb,5.0,1
La Mo O Zr,4.4,1
Mo O Sm Zr,4.4,2
Mo O Tb Zr,4.4,1
Bi Cu Se,4.8,1
Eu Hf O,4.4,3
Fe Mo Na Ni O,4.3,1
O Ta Y,4.5,8
B Ba F Na O,4.6,1
Ca Cu O,5.1,4
O Sn Sr,6.4,6
Er K O P,4.7,2
Cs Mo O Pb,4.3,1
Ga La O Si,4.8,3
Cs Mg O W,4.5,1
Tl,4.0,4
O Rb Sr U,4.8,1
Ba O V Zn,5.2,3
O Pb Ti Zr,4.4,5
Ga In O Ti,4.1,1
Mo Na O S,5.0,2
Mg Na O W,4.7,2
Ag Ga,2.5,1
Ga,3.8,8
Ag In,3.1,1
Ag La,3.6,5
La,3.4,2
Al Cr,3.5,3
Al Er,3.4,4
Al Gd,3.6,4
Al Hf,3.2,2
Al Ir,3.3,4
Al Mg,4.6,5
Al Re,3.6,2
Al Rh,3.3,2
Al Ru,3.3,4
Al Sc,4.4,4
Sc,4.5,2
Al Si,3.4,1
Al Sm,4.1,6
Al Ti,3.6,7
Al Zn,2.9,3
As Ge,4.9,3
Au Er,3.3,4
Au Gd,3.7,3
Au Ho,3.4,6
Au Sc,4.3,2
Au Tb,3.5,3
Au Tm,3.3,3
Au Zr,3.3,1
Ba,4.6,3
Ba Li,4.7,2
Li,4.7,5
B Cr,3.5,2
Be,4.7,3
Be Ti,4.6,5
Bi Ni,4.5,4
Bi Pr,5.0,4
B,3.0,6
B Mo,3.4,3
B Nd,2.9,1
Ca Li,4.6,2
Ca Si,5.0,8
Ca,4.6,9
Ca Sn,4.8,7
Ce Co,4.6,2
Ce,4.5,6
Ce Cu,3.3,2
Ce Hg,4.0,4
Ce Ru,4.0,1
C Mo,3.3,3
Co Zn,2.5,1
Cu La,3.7,3
Mg,4.7,2
Cu Nd,3.4,2
Cu Pr,3.6,2
Cu Sm,3.6,2
Cu Y,3.4,2
Cu Zr,3.8,3
Dy Pd,4.3,2
Dy Pt,3.8,2
Er Pd,4.7,1
Eu Sn,4.3,3
Fe Ga,3.5,2
Fe Ge,3.5,2
Fe S,4.2,10
S,4.9,22
Fe U,3.7,1
Fe Zn,2.7,1
Ga Mg,5.0,7
Ga Ni,3.6,4
Ga Pd,3.5,3
Ga Ti,3.8,4
Gd Rh,3.9,2
Gd Sb,4.7,3
Ge Ti,3.5,2
Hg Na,4.5,6
Na,4.5,5
Hg Rh,2.8,1
Hg Sr,4.1,6
Sr,4.6,5
Hg U,3.2,1
Hg Zr,3.5,2
Ho Pt,3.6,2
H Zr,4.9,3
In Ni,2.9,4
In Pt,3.3,3
In Se,5.3,4
In Sn,4.3,2
Ir Sc,5.0,5
K,4.8,6
K Te,4.9,1
La Ni,4.6,3
Li Sr,4.7,3
Mg Mn,4.8,1
Mg Pr,4.7,4
Mg Zn,4.8,3
Mg Zr,4.6,1
Mn Te,5.5,1
Nb Si,4.3,3
Ni P,3.7,6
Ni Pr,3.9,3
Ni Sc,4.0,2
Ni V,3.4,1
N Ti,3.5,3
Pb Pd,3.9,2
Pb Sb,4.9,5
Pb Sn,4.7,3
Pd Y,4.6,4
Pt Si,3.2,4
Rh Te,4.7,2
Sb Sn,4.6,5
Si Ti,4.2,7
Sn Ti,4.5,3
Sr Zn,3.7,2
Ti Zn,3.1,2
Al Au,3.0,2
Co Sm,3.8,1
Al Nd,4.2,5
Ag Mg,4.6,3
Ag Sn,4.6,2
Ag Zr,2.8,1
Al Be,4.7,2
Al Ca,4.3,2
Al Co,3.1,3
Al Li,4.8,6
Pb,4.7,3
Al Pd,3.2,1
Al V,3.5,3
Al Y,4.2,6
As Cu,3.4,3
As Si,4.6,3
As Te,5.2,3
Au Pb,4.2,2
Ba Ge,5.0,12
Ba O,5.5,4
B Co,3.0,2
Be Sc,4.7,3
Be Zr,4.6,3
Bi Ca,4.3,4
Bi Cl,5.7,2
Bi Nd,4.3,4
Bi Tm,4.0,2
B S,4.5,3
Ca Ge,5.0,8
Ca Mg,4.7,1
Ca Ni,3.7,2
Ca Sb,4.6,6
Cd Sc,3.2,2
Ce Sb,4.6,4
Ce Si,4.3,5
Ce Y,4.5,4
Cl Eu,6.9,3
Co Gd,3.9,1
Co O,4.0,5
Co Sn,4.3,6
Cs Te,5.4,3
Cu Se,4.1,3
C Y,4.4,7
Eu Pd,3.8,1
Fe P,4.2,5
Ge Sr,4.6,8
Ge Yb,4.2,6
Hg Tl,4.0,3
Ho Si,4.5,5
H Ti,4.1,1
In Ir,3.7,3
In Pd,3.3,4
In Sc,4.8,5
In Ti,3.2,1
La Si,4.6,7
Mg Ni,4.7,4
Nb Ni,3.3,1
Nd Sb,4.7,4
Ni S,4.1,5
Ni Sn,4.3,2
Ni Tb,3.7,2
Ni Y,4.5,4
O U,5.1,9
Pb S,5.0,5
Pb Sc,3.9,2
P Ti,4.3,4
Pt Sn,3.5,2
Rh Sc,5.0,2
Ru Sn,2.9,2
Ru Y,4.5,4
Sb Yb,4.3,5
Sc Sn,5.2,4
Si Sr,5.4,5
Si Tb,4.0,2
Si Yb,4.5,5
Sn Sr,4.5,5
Sn U,4.9,3
S Si,5.2,4
S Sm,4.3,1
Y Zn,4.1,4
Zn Zr,3.2,2
